tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
,,54731126,,java,broken,4,java-ant,"",false,,,,,,,,,"",,108
,,54731127,,java,broken,3,java-ant,"",false,,,,,,,,,"",,90
,,54734501,,java,broken,3,java-ant,"",false,,,,,,,,,"",,105
,,54734502,,java,broken,3,java-ant,"",false,,,,,,,,,"",,79
,,54738300,,java,broken,3,java-ant,"",false,,,,,,,,,"",,105
,,54738301,,java,broken,3,java-ant,"",false,,,,,,,,,"",,59.54
,,54745799,,java,broken,4,java-ant,"",false,,,,,,,,,"",,89
,,54745800,,java,broken,3,java-ant,"",false,,,,,,,,,"",,76
,,54755694,,java,broken,4,java-ant,"",false,,,,,,,,,"",,79
,,54755695,,java,broken,3,java-ant,"",false,,,,,,,,,"",,60
,,54771866,,java,broken,3,java-ant,"",false,,,,,,,,,"",,121
,,54771867,,java,broken,4,java-ant,"",false,,,,,,,,,"",,83
,,54775075,,java,broken,3,java-ant,"",false,,,,,,,,,"",,85
,,54775076,,java,broken,3,java-ant,"",false,,,,,,,,,"",,82
,,54832622,,java,broken,3,java-ant,"",false,,,,,,,,,"",,88
,,54832623,,java,broken,3,java-ant,"",false,,,,,,,,,"",,81
,,54834267,,java,broken,3,java-ant,"",false,,,,,,,,,"",,95
,,54834268,,java,broken,3,java-ant,"",false,,,,,,,,,"",,64
,,54834271,,java,broken,0,java-ant,"",false,,,,,,,,,"",,105
,,54834273,,java,broken,0,java-ant,"",false,,,,,,,,,"",,61
,,54834359,,java,broken,3,java-ant,"",false,,,,,,,,,"",,81
,,54834360,,java,broken,3,java-ant,"",false,,,,,,,,,"",,56.29
,,54836126,,java,broken,3,java-ant,"",false,,,,,,,,,"",,115
,,54836127,,java,broken,3,java-ant,"",false,,,,,,,,,"",,69
,,54836412,,java,broken,3,java-ant,"",false,,,,,,,,,"",,96
,,54836413,,java,broken,4,java-ant,"",false,,,,,,,,,"",,62
,,54843552,,java,broken,3,java-ant,"",false,,,,,,,,,"",,83
,,54843553,,java,broken,3,java-ant,"",false,,,,,,,,,"",,65
,,54846161,,java,broken,3,java-ant,"",false,,,,,,,,,"",,102
,,54846162,,java,broken,3,java-ant,"",false,,,,,,,,,"",,78
,,54846166,,java,broken,0,java-ant,"",false,,,,,,,,,"",,96
,,54846167,,java,broken,0,java-ant,"",false,,,,,,,,,"",,81
,,54851645,,java,broken,3,java-ant,"",false,,,,,,,,,"",,80
,,54851646,,java,broken,3,java-ant,"",false,,,,,,,,,"",,78
,,54851657,,java,broken,0,java-ant,"",false,,,,,,,,,"",,121
,,54851658,,java,broken,1,java-ant,"",false,,,,,,,,,"",,69
,,54854349,,java,broken,4,java-ant,"",false,,,,,,,,,"",,99
,,54854350,,java,broken,4,java-ant,"",false,,,,,,,,,"",,68
