,from_tag,to_tag,buildid
0,5.1.2,5.2,64092089
1,5.1.2,5.2,64092618
2,5.1.2,5.2,64095410
3,5.1.2,5.2,64097049
4,5.1.2,5.2,64098577
5,5.1.2,5.2,64099114
6,5.1.2,5.2,64099619
7,5.1.2,5.2,64100435
8,5.1.2,5.2,64102911
9,5.1.2,5.2,64109809
10,5.1.2,5.2,64211559
11,5.1.2,5.2,64212606
12,5.1.2,5.2,64227751
13,5.1.2,5.2,64228644
14,5.1.2,5.2,64230791
15,5.1.2,5.2,64231249
16,5.1.2,5.2,64234452
17,5.1.2,5.2,64241291
18,5.1.2,5.2,64241524
19,5.1.2,5.2,64259255
20,5.1.2,5.2,64260704
21,5.1.2,5.2,64285135
22,5.1.2,5.2,64373259
23,5.1.2,5.2,64373922
24,5.1.2,5.2,64374253
25,5.1.2,5.2,64375877
26,5.1.2,5.2,64378822
27,5.1.2,5.2,64381687
28,5.1.2,5.2,64383621
29,5.1.2,5.2,64384485
30,5.1.2,5.2,83687757
31,5.1.2,5.2,83688665
32,5.1.2,5.2,83692750
33,5.1.2,5.2,83693569
34,5.1.2,5.2,83694821
35,5.1.2,5.2,83702584
36,5.1.2,5.2,83707721
37,5.1.2,5.2,83727977
38,5.1.2,5.2,83728032
39,5.1.2,5.2,83760341
40,5.1.2,5.2,83761988
41,5.1.2,5.2,83763623
42,5.1.2,5.2,83772592
43,5.1.2,5.2,83772653
44,5.1.2,5.2,83830534
45,5.1.2,5.2,83830661
46,5.1.2,5.2,83830679
47,5.1.2,5.2,83832237
48,5.1.2,5.2,83840178
49,5.1.2,5.2,83843189
50,5.1.2,5.2,83845081
51,5.1.2,5.2,83852931
52,5.1.2,5.2,83852959
53,5.1.2,5.2,83857481
54,5.1.2,5.2,83857766
55,5.1.2,5.2,83865291
56,5.1.2,5.2,83874059
57,5.1.2,5.2,83875392
58,5.1.2,5.2,83877153
59,5.1.2,5.2,83879396
60,5.1.2,5.2,83885364
61,5.1.2,5.2,83886401
62,5.1.2,5.2,83894362
63,5.1.2,5.2,83901172
64,5.1.2,5.2,83905394
65,5.1.2,5.2,83905583
66,5.1.2,5.2,83917025
67,5.1.2,5.2,83933047
68,5.1.2,5.2,83988389
69,5.1.2,5.2,83988459
70,5.1.2,5.2,84051064
71,5.1.2,5.2,84064495
72,5.1.2,5.2,84078347
73,5.1.2,5.2,84453363
74,5.1.2,5.2,71958106
75,5.1.2,5.2,71960963
76,5.1.2,5.2,71961976
77,5.1.2,5.2,71962466
78,5.1.2,5.2,71971017
79,5.1.2,5.2,71971081
80,5.1.2,5.2,72070973
81,5.1.2,5.2,72085219
82,5.1.2,5.2,72091421
83,5.1.2,5.2,72103120
84,5.1.2,5.2,72104180
85,5.1.2,5.2,72106125
86,5.1.2,5.2,72107651
87,5.1.2,5.2,72111416
88,5.1.2,5.2,72113494
89,5.1.2,5.2,72127042
90,5.1.2,5.2,72132199
91,5.1.2,5.2,72133163
92,5.1.2,5.2,72172027
93,5.1.2,5.2,72172422
94,5.1.2,5.2,72240439
95,5.1.2,5.2,72253087
96,5.1.2,5.2,72254832
97,5.1.2,5.2,72255422
98,5.1.2,5.2,72256109
99,5.1.2,5.2,72256665
100,5.1.2,5.2,72259549
101,5.1.2,5.2,72259878
102,5.1.2,5.2,72260279
103,5.1.2,5.2,72265963
104,5.1.2,5.2,72266475
105,5.1.2,5.2,70408560
106,5.1.2,5.2,70609724
107,5.1.2,5.2,70656981
108,5.1.2,5.2,70695998
109,5.1.2,5.2,70697628
110,5.1.2,5.2,70698145
111,5.1.2,5.2,70700726
112,5.1.2,5.2,70730787
113,5.1.2,5.2,70739481
114,5.1.2,5.2,70751935
115,5.1.2,5.2,70913673
116,5.1.2,5.2,70914354
117,5.1.2,5.2,70919448
118,5.1.2,5.2,71042490
119,5.1.2,5.2,71046214
120,5.1.2,5.2,71048778
121,5.1.2,5.2,71064512
122,5.1.2,5.2,71070348
123,5.1.2,5.2,71075118
124,5.1.2,5.2,71078212
125,5.1.2,5.2,71083179
126,5.1.2,5.2,71089745
127,5.1.2,5.2,71205566
128,5.1.2,5.2,71208245
129,5.1.2,5.2,71211577
130,5.1.2,5.2,71220663
131,5.1.2,5.2,71225515
132,5.1.2,5.2,71226334
133,5.1.2,5.2,71236637
134,5.1.2,5.2,71239871
135,5.1.2,5.2,71240913
136,5.1.2,5.2,71305148
137,5.1.2,5.2,71311010
138,5.1.2,5.2,71312566
139,5.1.2,5.2,71319392
140,5.1.2,5.2,71333645
141,5.1.2,5.2,71379492
142,5.1.2,5.2,81595549
143,5.1.2,5.2,81604778
144,5.1.2,5.2,81605958
145,5.1.2,5.2,81606104
146,5.1.2,5.2,81608522
147,5.1.2,5.2,81608575
148,5.1.2,5.2,81612480
149,5.1.2,5.2,82111918
150,5.1.2,5.2,82112604
151,5.1.2,5.2,82114413
152,5.1.2,5.2,82124120
153,5.1.2,5.2,82124388
154,5.1.2,5.2,82134622
155,5.1.2,5.2,82136836
156,5.1.2,5.2,82136873
157,5.1.2,5.2,82145358
158,5.1.2,5.2,82145532
159,5.1.2,5.2,82145948
160,5.1.2,5.2,82145995
161,5.1.2,5.2,82149393
162,5.1.2,5.2,82160171
163,5.1.2,5.2,82166645
164,5.1.2,5.2,69972022
165,5.1.2,5.2,70029947
166,5.1.2,5.2,70051473
167,5.1.2,5.2,70055438
168,5.1.2,5.2,70067381
169,5.1.2,5.2,70068449
170,5.1.2,5.2,70070698
171,5.1.2,5.2,70136869
172,5.1.2,5.2,70173500
173,5.1.2,5.2,70181476
174,5.1.2,5.2,70181765
175,5.1.2,5.2,70182718
176,5.1.2,5.2,70190887
177,5.1.2,5.2,70191098
178,5.1.2,5.2,70191744
179,5.1.2,5.2,70198638
180,5.1.2,5.2,70225868
181,5.1.2,5.2,70228991
182,5.1.2,5.2,70387012
183,5.1.2,5.2,70390031
184,5.1.2,5.2,70393993
185,5.1.2,5.2,63171212
186,5.1.2,5.2,63171414
187,5.1.2,5.2,63190839
188,5.1.2,5.2,63191621
189,5.1.2,5.2,63199065
190,5.1.2,5.2,63212358
191,5.1.2,5.2,63215389
192,5.1.2,5.2,63290678
193,5.1.2,5.2,63290986
194,5.1.2,5.2,63292037
195,5.1.2,5.2,63295277
196,5.1.2,5.2,63295458
197,5.1.2,5.2,63298090
198,5.1.2,5.2,63298746
199,5.1.2,5.2,63298806
200,5.1.2,5.2,63299647
201,5.1.2,5.2,63301098
202,5.1.2,5.2,63302521
203,5.1.2,5.2,63314556
204,5.1.2,5.2,63321966
205,5.1.2,5.2,63328675
206,5.1.2,5.2,63328706
207,5.1.2,5.2,63331633
208,5.1.2,5.2,63339738
209,5.1.2,5.2,63346488
210,5.1.2,5.2,63398942
211,5.1.2,5.2,63400054
212,5.1.2,5.2,63401800
213,5.1.2,5.2,63403741
214,5.1.2,5.2,63405026
215,5.1.2,5.2,63449287
216,5.1.2,5.2,63458409
