,from_tag,to_tag,buildid
0,5.1.2,5.2,75257992
1,5.1.2,5.2,75258147
2,5.1.2,5.2,75272372
3,5.1.2,5.2,75281834
4,5.1.2,5.2,79254509
5,5.1.2,5.2,79316563
6,5.1.2,5.2,74211463
7,5.1.2,5.2,74212786
8,5.1.2,5.2,74215161
9,5.1.2,5.2,74219712
10,5.1.2,5.2,79131738
11,5.1.2,5.2,74239702
12,5.1.2,5.2,74242481
13,5.1.2,5.2,74371085
14,5.1.2,5.2,74393349
15,5.1.2,5.2,74396941
16,5.1.2,5.2,74068021
17,5.1.2,5.2,74089791
18,5.1.2,5.2,74270549
19,5.1.2,5.2,74366120
20,5.1.2,5.2,74551518
21,5.1.2,5.2,74559317
22,5.1.2,5.2,78611952
23,5.1.2,5.2,78612380
24,5.1.2,5.2,78708356
25,5.1.2,5.2,78748762
26,5.1.2,5.2,78748996
27,5.1.2,5.2,78757435
28,5.1.2,5.2,78757875
29,5.1.2,5.2,78762757
30,5.1.2,5.2,78764092
31,5.1.2,5.2,79113639
32,5.1.2,5.2,79135950
33,5.1.2,5.2,74063357
34,5.1.2,5.2,74068661
35,5.1.2,5.2,74070244
36,5.1.2,5.2,74079859
37,5.1.2,5.2,74089139
38,5.1.2,5.2,74362760
39,5.1.2,5.2,73859771
40,5.1.2,5.2,73849241
41,5.1.2,5.2,73888927
42,5.1.2,5.2,73889986
43,5.1.2,5.2,73892034
44,5.1.2,5.2,74200064
45,5.1.2,5.2,74239932
46,5.1.2,5.2,74371035
47,5.1.2,5.2,74393137
48,5.1.2,5.2,74396609
49,5.1.2,5.2,76072574
50,5.1.2,5.2,76073875
51,5.1.2,5.2,76250234
52,5.1.2,5.2,76270250
53,5.1.2,5.2,76272765
54,5.1.2,5.2,78713018
55,5.1.2,5.2,78719572
56,5.1.2,5.2,74547957
57,5.1.2,5.2,74556625
58,5.1.2,5.2,74564425
59,5.1.2,5.2,74567018
60,5.1.2,5.2,74583180
61,5.1.2,5.2,74590654
62,5.1.2,5.2,74876181
63,5.1.2,5.2,74905260
64,5.1.2,5.2,82172795
65,5.1.2,5.2,82182386
66,5.1.2,5.2,82566344
67,5.1.2,5.2,79147117
68,5.1.2,5.2,79801516
69,5.1.2,5.2,79803453
70,5.1.2,5.2,77345929
71,5.1.2,5.2,77352611
72,5.1.2,5.2,77457452
73,5.1.2,5.2,77508665
74,5.1.2,5.2,77653118
75,5.1.2,5.2,77655083
76,5.1.2,5.2,77679893
77,5.1.2,5.2,77682116
78,5.1.2,5.2,77703901
79,5.1.2,5.2,78002831
80,5.1.2,5.2,77509335
81,5.1.2,5.2,77669956
82,5.1.2,5.2,77817582
83,5.1.2,5.2,77121878
84,5.1.2,5.2,77175130
85,5.1.2,5.2,77176919
86,5.1.2,5.2,77273608
87,5.1.2,5.2,78723938
88,5.1.2,5.2,79145704
89,5.1.2,5.2,79146016
90,5.1.2,5.2,73339488
91,5.1.2,5.2,73346570
92,5.1.2,5.2,73347128
93,5.1.2,5.2,73357009
94,5.1.2,5.2,77459417
