,from_tag,to_tag,buildid
0,5.1.2,5.2,74558395
1,5.1.2,5.2,74558395
2,5.1.2,5.2,74558395
3,5.1.2,5.2,74558395
4,5.1.2,5.2,74558395
5,5.1.2,5.2,74558395
6,5.1.2,5.2,74558395
7,5.1.2,5.2,74558395
8,5.1.2,5.2,74558395
9,5.1.2,5.2,74558395
10,5.1.2,5.2,74558395
11,5.1.2,5.2,74869003
12,5.1.2,5.2,74869003
13,5.1.2,5.2,74869003
14,5.1.2,5.2,74869003
15,5.1.2,5.2,74869003
16,5.1.2,5.2,74869003
17,5.1.2,5.2,74869003
18,5.1.2,5.2,74869003
19,5.1.2,5.2,74869003
20,5.1.2,5.2,74869003
21,5.1.2,5.2,74869003
22,5.1.2,5.2,74878632
23,5.1.2,5.2,74878632
24,5.1.2,5.2,74878632
25,5.1.2,5.2,74878632
26,5.1.2,5.2,74878632
27,5.1.2,5.2,74878632
28,5.1.2,5.2,74878632
29,5.1.2,5.2,74878632
30,5.1.2,5.2,74878632
31,5.1.2,5.2,74878632
32,5.1.2,5.2,74878632
33,5.1.2,5.2,74885984
34,5.1.2,5.2,74885984
35,5.1.2,5.2,74885984
36,5.1.2,5.2,74885984
37,5.1.2,5.2,74885984
38,5.1.2,5.2,74885984
39,5.1.2,5.2,74885984
40,5.1.2,5.2,74885984
41,5.1.2,5.2,74885984
42,5.1.2,5.2,74885984
43,5.1.2,5.2,74885984
44,5.1.2,5.2,74921354
45,5.1.2,5.2,74921354
46,5.1.2,5.2,74921354
47,5.1.2,5.2,74921354
48,5.1.2,5.2,74921354
49,5.1.2,5.2,74921354
50,5.1.2,5.2,74921354
51,5.1.2,5.2,74921354
52,5.1.2,5.2,74921354
53,5.1.2,5.2,74921354
54,5.1.2,5.2,74921354
55,5.1.2,5.2,74938956
56,5.1.2,5.2,74938956
57,5.1.2,5.2,74938956
58,5.1.2,5.2,74938956
59,5.1.2,5.2,74938956
60,5.1.2,5.2,74938956
61,5.1.2,5.2,74938956
62,5.1.2,5.2,74938956
63,5.1.2,5.2,74938956
64,5.1.2,5.2,74938956
65,5.1.2,5.2,74938956
66,5.1.2,5.2,75084034
67,5.1.2,5.2,75084034
68,5.1.2,5.2,75084034
69,5.1.2,5.2,75084034
70,5.1.2,5.2,75084034
71,5.1.2,5.2,75084034
72,5.1.2,5.2,75084034
73,5.1.2,5.2,75084034
74,5.1.2,5.2,75084034
75,5.1.2,5.2,75084034
76,5.1.2,5.2,75084034
77,5.1.2,5.2,75092051
78,5.1.2,5.2,75092051
79,5.1.2,5.2,75092051
80,5.1.2,5.2,75092051
81,5.1.2,5.2,75092051
82,5.1.2,5.2,75092051
83,5.1.2,5.2,75092051
84,5.1.2,5.2,75092051
85,5.1.2,5.2,75092051
86,5.1.2,5.2,75092051
87,5.1.2,5.2,75092051
88,5.1.2,5.2,75217733
89,5.1.2,5.2,75217733
90,5.1.2,5.2,75217733
91,5.1.2,5.2,75217733
92,5.1.2,5.2,75217733
93,5.1.2,5.2,75217733
94,5.1.2,5.2,75217733
95,5.1.2,5.2,75217733
96,5.1.2,5.2,75217733
97,5.1.2,5.2,75217733
98,5.1.2,5.2,75217733
99,5.1.2,5.2,75226209
100,5.1.2,5.2,75226209
101,5.1.2,5.2,75226209
102,5.1.2,5.2,75226209
103,5.1.2,5.2,75226209
104,5.1.2,5.2,75226209
105,5.1.2,5.2,75226209
106,5.1.2,5.2,75226209
107,5.1.2,5.2,75226209
108,5.1.2,5.2,75226209
109,5.1.2,5.2,75226209
110,5.1.2,5.2,75239347
111,5.1.2,5.2,75239347
112,5.1.2,5.2,75239347
113,5.1.2,5.2,75239347
114,5.1.2,5.2,75239347
115,5.1.2,5.2,75239347
116,5.1.2,5.2,75239347
117,5.1.2,5.2,75239347
118,5.1.2,5.2,75239347
119,5.1.2,5.2,75239347
120,5.1.2,5.2,75239347
121,5.1.2,5.2,75255005
122,5.1.2,5.2,75255005
123,5.1.2,5.2,75255005
124,5.1.2,5.2,75255005
125,5.1.2,5.2,75255005
126,5.1.2,5.2,75255005
127,5.1.2,5.2,75255005
128,5.1.2,5.2,75255005
129,5.1.2,5.2,75255005
130,5.1.2,5.2,75255005
131,5.1.2,5.2,75255005
132,5.1.2,5.2,75258127
133,5.1.2,5.2,75258127
134,5.1.2,5.2,75258127
135,5.1.2,5.2,75258127
136,5.1.2,5.2,75258127
137,5.1.2,5.2,75258127
138,5.1.2,5.2,75258127
139,5.1.2,5.2,75258127
140,5.1.2,5.2,75258127
141,5.1.2,5.2,75258127
142,5.1.2,5.2,75258127
143,5.1.2,5.2,75272342
144,5.1.2,5.2,75272342
145,5.1.2,5.2,75272342
146,5.1.2,5.2,75272342
147,5.1.2,5.2,75272342
148,5.1.2,5.2,75272342
149,5.1.2,5.2,75272342
150,5.1.2,5.2,75272342
151,5.1.2,5.2,75272342
152,5.1.2,5.2,75272342
153,5.1.2,5.2,75272342
154,5.1.2,5.2,75281848
155,5.1.2,5.2,75281848
156,5.1.2,5.2,75281848
157,5.1.2,5.2,75281848
158,5.1.2,5.2,75281848
159,5.1.2,5.2,75281848
160,5.1.2,5.2,75281848
161,5.1.2,5.2,75281848
162,5.1.2,5.2,75281848
163,5.1.2,5.2,75281848
164,5.1.2,5.2,75281848
165,5.1.2,5.2,79130461
166,5.1.2,5.2,79130461
167,5.1.2,5.2,79130461
168,5.1.2,5.2,79130461
169,5.1.2,5.2,79130461
170,5.1.2,5.2,79130461
171,5.1.2,5.2,79130461
172,5.1.2,5.2,79130461
173,5.1.2,5.2,79130461
174,5.1.2,5.2,79135483
175,5.1.2,5.2,79135483
176,5.1.2,5.2,79135483
177,5.1.2,5.2,79135483
178,5.1.2,5.2,79135483
179,5.1.2,5.2,79135483
180,5.1.2,5.2,79135483
181,5.1.2,5.2,79135483
182,5.1.2,5.2,79135483
183,5.1.2,5.2,79251023
184,5.1.2,5.2,79251023
185,5.1.2,5.2,79251023
186,5.1.2,5.2,79251023
187,5.1.2,5.2,79251023
188,5.1.2,5.2,79251023
189,5.1.2,5.2,79251023
190,5.1.2,5.2,79251023
191,5.1.2,5.2,79251023
192,5.1.2,5.2,79316551
193,5.1.2,5.2,79316551
194,5.1.2,5.2,79316551
195,5.1.2,5.2,79316551
196,5.1.2,5.2,79316551
197,5.1.2,5.2,79316551
198,5.1.2,5.2,79316551
199,5.1.2,5.2,79316551
200,5.1.2,5.2,79316551
201,5.1.2,5.2,74211433
202,5.1.2,5.2,74211433
203,5.1.2,5.2,74211433
204,5.1.2,5.2,74211433
205,5.1.2,5.2,74211433
206,5.1.2,5.2,74211433
207,5.1.2,5.2,74211433
208,5.1.2,5.2,74211433
209,5.1.2,5.2,74211433
210,5.1.2,5.2,74211433
211,5.1.2,5.2,74211433
212,5.1.2,5.2,74212764
