,from_tag,to_tag,buildid
0,5.2,5.3,98143403
1,5.4,5.5,122455622
2,5.4,5.5,122685536
3,5.4,5.5,114230011
4,5.4,5.5,114455466
5,5.5,5.6,132262628
6,5.5,5.6,125774353
7,5.5,5.6,125766848
8,5.5,5.6,125770289
9,5.5,5.6,121653358
10,5.5,5.6,121638621
11,5.5,5.6,122188124
12,5.5,5.6,122188168
13,5.6.3,5.6.4,180137020
14,5.6.3,5.6.4,180072366
15,6.0,6.1,164154519
16,6.0,6.1,163959344
17,6.0,6.1,163962858
18,6.0,6.1,161658504
19,6.0,6.1,161810370
20,6.2,6.3,190545493
21,6.3.2,6.4,235260213
22,6.3.2,6.4,235364492
23,6.7,6.7.1,315244403
24,6.7.1,7.0,333940815
25,6.7.1,7.0,333942241
26,6.7.1,7.0,298419484
27,6.7.1,7.0,298454181
28,6.7.1,6.7.2,340566851
29,6.7.1,6.7.2,340567106
30,6.7.1,6.7.2,327129523
31,6.7.3,6.7.4,341462352
32,6.7.3,6.7.4,341462773
33,6.7.3,6.7.4,341462980
34,6.7.3,6.7.4,383562202
35,7.0,7.1,355932572
36,7.0,7.1,341963379
37,7.1,7.2,385059077
38,7.1,7.2,370535894
39,7.1,7.2,358924980
40,7.1,7.2,358960798
41,7.3,7.4,410712242
42,7.9,7.9.1,556655773
43,7.9.1,7.9.2,621280414
44,8.0,8.1,626228456
45,8.2,8.3,667861342
46,8.4,8.4.1,705541210
47,8.4,8.4.1,706296562
0,5.1.2,5.2,64092089
1,5.1.2,5.2,64092618
2,5.1.2,5.2,64094998
3,5.1.2,5.2,64095044
4,5.1.2,5.2,64095410
5,5.1.2,5.2,64097049
6,5.1.2,5.2,64098577
7,5.1.2,5.2,64098825
8,5.1.2,5.2,64098828
9,5.1.2,5.2,64099114
10,5.1.2,5.2,64099619
11,5.1.2,5.2,64099621
12,5.1.2,5.2,64100435
13,5.1.2,5.2,64102911
14,5.1.2,5.2,64102919
15,5.1.2,5.2,64109809
16,5.1.2,5.2,64117675
17,5.1.2,5.2,64117810
18,5.1.2,5.2,64117970
19,5.1.2,5.2,64118188
20,5.1.2,5.2,64118190
21,5.1.2,5.2,64211559
22,5.1.2,5.2,64212606
23,5.1.2,5.2,64214515
24,5.1.2,5.2,64214520
25,5.1.2,5.2,64218552
26,5.1.2,5.2,64221799
27,5.1.2,5.2,64222473
28,5.1.2,5.2,64225084
29,5.1.2,5.2,64225086
30,5.1.2,5.2,64227708
31,5.1.2,5.2,64227710
32,5.1.2,5.2,64227747
33,5.1.2,5.2,64227751
34,5.1.2,5.2,64228644
35,5.1.2,5.2,64230468
36,5.1.2,5.2,64230470
37,5.1.2,5.2,64230493
38,5.1.2,5.2,64230791
39,5.1.2,5.2,64230805
40,5.1.2,5.2,64231249
41,5.1.2,5.2,64234452
42,5.1.2,5.2,64241291
43,5.1.2,5.2,64241524
44,5.1.2,5.2,64259255
45,5.1.2,5.2,64260704
46,5.1.2,5.2,64262825
47,5.1.2,5.2,64264224
48,5.1.2,5.2,64267282
49,5.1.2,5.2,64267321
50,5.1.2,5.2,64270891
51,5.1.2,5.2,64273494
52,5.1.2,5.2,64285135
53,5.1.2,5.2,64373259
54,5.1.2,5.2,64373922
55,5.1.2,5.2,64374253
56,5.1.2,5.2,64375877
57,5.1.2,5.2,64377485
58,5.1.2,5.2,64378822
59,5.1.2,5.2,64381687
60,5.1.2,5.2,64383621
61,5.1.2,5.2,64383637
62,5.1.2,5.2,64383639
63,5.1.2,5.2,64383701
64,5.1.2,5.2,64384485
65,5.1.2,5.2,83683556
66,5.1.2,5.2,83683637
67,5.1.2,5.2,83687711
68,5.1.2,5.2,83687757
69,5.1.2,5.2,83688665
70,5.1.2,5.2,83692750
71,5.1.2,5.2,83693569
72,5.1.2,5.2,83694821
73,5.1.2,5.2,83698870
74,5.1.2,5.2,83698983
75,5.1.2,5.2,83702584
76,5.1.2,5.2,83707721
77,5.1.2,5.2,83713412
78,5.1.2,5.2,83713431
79,5.1.2,5.2,83721141
80,5.1.2,5.2,83722579
81,5.1.2,5.2,83727945
82,5.1.2,5.2,83727977
83,5.1.2,5.2,83728032
84,5.1.2,5.2,83735453
85,5.1.2,5.2,83735516
86,5.1.2,5.2,83760341
87,5.1.2,5.2,83761988
88,5.1.2,5.2,83763623
89,5.1.2,5.2,83772592
90,5.1.2,5.2,83772604
91,5.1.2,5.2,83772653
92,5.1.2,5.2,83830534
93,5.1.2,5.2,83830661
