,from_tag,to_tag,n_iterations
0,4.5.6,4.5.7,1
1,5.1,5.1.1,1
2,5.1.1,5.1.2,2
3,5.1.2,5.2,3
4,5.2,5.3,3
5,5.3,5.4,3
6,5.4,5.5,3
7,5.5,5.6,3
8,5.6,5.6.1,2
9,5.6.1,5.6.2,2
10,5.6.1,6.0,3
11,5.6.2,5.6.3,2
12,5.6.3,5.6.4,2
13,5.6.4,5.6.5,2
14,5.6.5,5.6.6,2
15,5.6.6,5.6.7,2
16,6.0,6.1,4
17,6.1,6.1.1,1
18,6.1.1,6.2,3
19,6.2,6.3,3
20,6.3,6.3.1,2
21,6.3.1,6.3.2,2
22,6.3.2,6.4,4
23,6.4,6.5,3
24,6.5,6.6,4
25,6.6,6.7,3
26,6.7,6.7.1,2
27,6.7.1,6.7.2,3
28,6.7.1,7.0,4
29,6.7.2,6.7.3,4
30,6.7.3,6.7.4,2
31,6.7.4,6.7.5,2
32,6.7.5,6.7.6,3
33,6.7.6,6.7.7,2
34,7.0,7.1,5
35,7.1,7.2,1
36,7.2,7.3,1
37,7.3,7.4,1
38,7.4,7.5,1
39,7.5,7.6,5
40,7.6,7.7,5
41,7.7,7.8,1
42,7.8,7.9,1
43,7.9,7.9.1,1
44,7.9,8.0,2
45,7.9.1,7.9.3,1
46,7.9.3,7.9.4,2
47,8.0,8.1.0.31237,1
48,8.1.0.31237,8.2.0.32929,1
49,8.2.0.32929,8.3.0.34182,1
50,8.3.0.34182,8.3.1.34397,1
51,8.3.0.34182,8.4.0.35506,1
52,8.4.0.35506,8.4.1.35646,1
53,8.4.1.35646,8.4.2.36762,1
