,from_tag,to_tag,ahead_by,behind_by
0,5.5-M2,5.4,20,66
1,5.4-M13,5.4,55,0
2,5.5-M4,5.4,17,97
3,5.4-RC1,5.4,33,0
4,5.5-M1,5.4,22,36
5,5.4-RC2,5.4,21,0
6,5.4-RC3,5.4,10,0
7,5.4-M10,5.4,181,0
8,5.4-M1,5.4,30,0
9,5.4-M14,5.4,30,0
10,5.4-RC4,5.4,3,0
11,5.4-M12,5.4,83,0
12,5.4-M11,5.4,144,0
13,5.5-M3,5.4,19,71
14,4.5.4,5.1-RC1,2304,39
15,5.0.1,5.1-RC1,1110,0
16,5.1.1,5.1-RC1,0,58
17,5.0-RC1,5.1-RC1,1182,0
18,5.0-RC4,5.1-RC1,1130,0
19,5.1.2,5.1-RC1,0,70
20,5.1-RC2,5.1-RC1,0,34
21,4.5.5,5.1-RC1,2304,39
22,4.5.6,5.1-RC1,2304,68
23,5.0-RC2,5.1-RC1,1171,0
24,5.0,5.1-RC1,1123,1
25,5.1,5.1-RC1,0,51
26,5.0-RC3,5.1-RC1,1166,0
27,4.5.7,5.1-RC1,2304,75
28,5.1,5.2-RC2,2785,0
29,5.0-RC4,5.2-RC2,3966,0
30,5.2-RC1,5.2-RC2,4,0
31,5.1-RC2,5.2-RC2,2802,0
32,5.0.1,5.2-RC2,3946,0
33,5.0,5.2-RC2,3959,1
34,5.0-RC3,5.2-RC2,4002,0
35,5.1.1,5.2-RC2,2778,0
36,5.3-RC2,5.2-RC2,0,639
37,5.3-RC1,5.2-RC2,0,600
38,5.2-RC3,5.2-RC2,0,56
39,5.1.2,5.2-RC2,2766,0
40,5.2,5.2-RC2,0,87
41,5.1-RC1,5.2-RC2,2836,0
42,2.12,2.10,1,445
43,2.13,2.10,1,731
44,2.11,2.10,0,180
45,2.10.1,2.10,0,3
46,6.7.1,7.6,2470,0
47,6.7.5,7.6,2455,77
48,7.0,7.6,2044,0
49,6.7.4,7.6,2455,50
50,7.9.1,7.6,0,903
51,7.5,7.6,243,0
52,7.8,7.6,0,745
53,7.9,7.6,0,886
54,6.7.2,7.6,2455,15
55,6.7.3,7.6,2455,30
56,7.7,7.6,0,236
57,7.0-RC1,7.6,2051,0
58,6.7.7,7.6,2455,105
59,6.7.6,7.6,2455,93
60,6.6,6.6-RC1,0,9
61,6.7.1,6.6-RC1,0,407
62,6.5-M4,6.6-RC1,1052,0
63,6.4-RC2,6.6-RC1,1482,0
64,6.5-M3,6.6-RC1,1067,0
65,6.7-RC1,6.6-RC1,0,357
66,6.7,6.6-RC1,0,3115
67,6.4-RC3,6.6-RC1,1470,0
68,6.5-M2,6.6-RC1,1134,0
69,6.4,6.6-RC1,1459,0
70,6.5-RC1,6.6-RC1,1068,0
71,6.5-RC2,6.6-RC1,1053,0
72,6.3-RC4,6.3.0.18800,0,24
73,6.3-RC1,6.3.0.18800,26,0
74,6.3,6.3.0.18800,0,32
75,6.2,6.3.0.18800,983,0
76,6.3.2,6.3.0.18800,0,50
77,6.3.1,6.3.0.18800,0,43
78,6.2.1,6.3.0.18800,962,0
