,from_tag,from_sha,to_sha,ahead_by,behind_by,to_tag
0,8.4.2.36762,2de1f343e3dbd9e88007b42e475512677c04eb8a,a0d372f704998d38856c26e28662fd7de062f873,0,4,8.4.1.35646
1,8.4.0.35506,74b4533439f380827d68e8c01667eeaecad89fc7,a0d372f704998d38856c26e28662fd7de062f873,6,0,8.4.1.35646
2,8.3.1.34397,b77ce511a2039330aea8832ad12e86a8cfa9ff7d,a0d372f704998d38856c26e28662fd7de062f873,247,3,8.4.1.35646
3,8.3.0.34182,9c58e36328ae79ad3c36c13aa253879351ce3613,a0d372f704998d38856c26e28662fd7de062f873,247,0,8.4.1.35646
4,8.2.0.32929,749367809478e5b7f60c6ef952436db9789b5882,a0d372f704998d38856c26e28662fd7de062f873,427,0,8.4.1.35646
5,8.1.0.31237,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,a0d372f704998d38856c26e28662fd7de062f873,689,1,8.4.1.35646
6,8.0,87ca68d63f4afd37d74b2f454430dfde9e862c6a,a0d372f704998d38856c26e28662fd7de062f873,884,0,8.4.1.35646
7,7.9.4,2f8d99a55899105cbf3e3170194c614c2a6ea4d7,a0d372f704998d38856c26e28662fd7de062f873,1299,62,8.4.1.35646
8,7.9.3,898a79cc7df01a9603c17f92b93e46ec62bc77d2,a0d372f704998d38856c26e28662fd7de062f873,1299,48,8.4.1.35646
9,7.9.2,5832fefc31f5ba25f15b3fa66ed816f7b87fd835,a0d372f704998d38856c26e28662fd7de062f873,1299,37,8.4.1.35646
10,7.9.1,6818fad17ba67e97d395a8488d5412e00892d5e1,a0d372f704998d38856c26e28662fd7de062f873,1299,18,8.4.1.35646
11,8.4.2.36762,2de1f343e3dbd9e88007b42e475512677c04eb8a,74b4533439f380827d68e8c01667eeaecad89fc7,0,10,8.4.0.35506
12,8.4.1.35646,a0d372f704998d38856c26e28662fd7de062f873,74b4533439f380827d68e8c01667eeaecad89fc7,0,6,8.4.0.35506
13,8.3.1.34397,b77ce511a2039330aea8832ad12e86a8cfa9ff7d,74b4533439f380827d68e8c01667eeaecad89fc7,241,3,8.4.0.35506
14,8.3.0.34182,9c58e36328ae79ad3c36c13aa253879351ce3613,74b4533439f380827d68e8c01667eeaecad89fc7,241,0,8.4.0.35506
15,8.2.0.32929,749367809478e5b7f60c6ef952436db9789b5882,74b4533439f380827d68e8c01667eeaecad89fc7,421,0,8.4.0.35506
16,8.1.0.31237,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,74b4533439f380827d68e8c01667eeaecad89fc7,683,1,8.4.0.35506
17,8.0,87ca68d63f4afd37d74b2f454430dfde9e862c6a,74b4533439f380827d68e8c01667eeaecad89fc7,878,0,8.4.0.35506
18,7.9.4,2f8d99a55899105cbf3e3170194c614c2a6ea4d7,74b4533439f380827d68e8c01667eeaecad89fc7,1293,62,8.4.0.35506
19,7.9.3,898a79cc7df01a9603c17f92b93e46ec62bc77d2,74b4533439f380827d68e8c01667eeaecad89fc7,1293,48,8.4.0.35506
20,7.9.2,5832fefc31f5ba25f15b3fa66ed816f7b87fd835,74b4533439f380827d68e8c01667eeaecad89fc7,1293,37,8.4.0.35506
21,7.9.1,6818fad17ba67e97d395a8488d5412e00892d5e1,74b4533439f380827d68e8c01667eeaecad89fc7,1293,18,8.4.0.35506
