,from_tag,to_tag,ahead_by,behind_by,from_sha,to_sha
0,4.5.7,4.5.6,0,7,e2afb0bff1b8be759789d2c1bc9348de6f519f83,12d931e5a31e1692a428bbb34ba11cd63aebf998
1,5.1,4.5.6,68,2355,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,12d931e5a31e1692a428bbb34ba11cd63aebf998
2,5.2,4.5.6,68,5227,f045be98be3ba032b6b19d71574038eeeb91803b,12d931e5a31e1692a428bbb34ba11cd63aebf998
3,6.1.1,4.5.6,68,8403,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,12d931e5a31e1692a428bbb34ba11cd63aebf998
4,5.6.5,4.5.6,68,7398,29a8d73d1b3fb39fd35c777bf07be40873391517,12d931e5a31e1692a428bbb34ba11cd63aebf998
5,5.1.2,4.5.6,68,2374,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,12d931e5a31e1692a428bbb34ba11cd63aebf998
6,5.4,4.5.6,68,6226,7b02df9be3cd9448699b5857586e1c6e2b28c007,12d931e5a31e1692a428bbb34ba11cd63aebf998
7,5.5,4.5.6,68,6951,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,12d931e5a31e1692a428bbb34ba11cd63aebf998
8,5.6.2,4.5.6,68,7357,9c1c190107023ffca5f67d6d0184ff5371c5347f,12d931e5a31e1692a428bbb34ba11cd63aebf998
9,5.6.6,4.5.6,68,7401,05221592672b903c703c0424dc77458e615c106d,12d931e5a31e1692a428bbb34ba11cd63aebf998
10,5.6.4,4.5.6,68,7387,52298794f1a34a4fd713ff8d441a0c13432e40a9,12d931e5a31e1692a428bbb34ba11cd63aebf998
11,5.6.1,4.5.6,68,7332,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,12d931e5a31e1692a428bbb34ba11cd63aebf998
12,5.3,4.5.6,68,5788,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,12d931e5a31e1692a428bbb34ba11cd63aebf998
13,5.6.7,4.5.6,68,7411,3de1bdeb3255fedc75885313205143f28aa89e9c,12d931e5a31e1692a428bbb34ba11cd63aebf998
14,5.6,4.5.6,68,7300,074f3d1169f9688d15af4aff67e7e672cbeed782,12d931e5a31e1692a428bbb34ba11cd63aebf998
15,5.1.1,4.5.6,68,2362,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,12d931e5a31e1692a428bbb34ba11cd63aebf998
16,6.0,4.5.6,68,7807,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,12d931e5a31e1692a428bbb34ba11cd63aebf998
17,6.1,4.5.6,68,8399,442f1a11b2365618f58f3f456a756995a6318225,12d931e5a31e1692a428bbb34ba11cd63aebf998
18,5.6.3,4.5.6,68,7370,a68d912046cfbbe3f9d1493ab53414face1adae2,12d931e5a31e1692a428bbb34ba11cd63aebf998
19,5.2,4.5.7,75,5227,f045be98be3ba032b6b19d71574038eeeb91803b,e2afb0bff1b8be759789d2c1bc9348de6f519f83
20,5.6.2,4.5.7,75,7357,9c1c190107023ffca5f67d6d0184ff5371c5347f,e2afb0bff1b8be759789d2c1bc9348de6f519f83
21,5.6.3,4.5.7,75,7370,a68d912046cfbbe3f9d1493ab53414face1adae2,e2afb0bff1b8be759789d2c1bc9348de6f519f83
22,5.6.4,4.5.7,75,7387,52298794f1a34a4fd713ff8d441a0c13432e40a9,e2afb0bff1b8be759789d2c1bc9348de6f519f83
23,6.1,4.5.7,75,8399,442f1a11b2365618f58f3f456a756995a6318225,e2afb0bff1b8be759789d2c1bc9348de6f519f83
24,5.1.2,4.5.7,75,2374,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,e2afb0bff1b8be759789d2c1bc9348de6f519f83
25,5.5,4.5.7,75,6951,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,e2afb0bff1b8be759789d2c1bc9348de6f519f83
26,6.2,4.5.7,75,9095,4a28f29f95254b58f3cf0a0871bc632e998403f5,e2afb0bff1b8be759789d2c1bc9348de6f519f83
27,5.1.1,4.5.7,75,2362,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,e2afb0bff1b8be759789d2c1bc9348de6f519f83
28,5.6.5,4.5.7,75,7398,29a8d73d1b3fb39fd35c777bf07be40873391517,e2afb0bff1b8be759789d2c1bc9348de6f519f83
29,5.6.7,4.5.7,75,7411,3de1bdeb3255fedc75885313205143f28aa89e9c,e2afb0bff1b8be759789d2c1bc9348de6f519f83
30,5.3,4.5.7,75,5788,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,e2afb0bff1b8be759789d2c1bc9348de6f519f83
31,6.0,4.5.7,75,7807,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,e2afb0bff1b8be759789d2c1bc9348de6f519f83
32,5.6.1,4.5.7,75,7332,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,e2afb0bff1b8be759789d2c1bc9348de6f519f83
33,4.5.6,4.5.7,7,0,12d931e5a31e1692a428bbb34ba11cd63aebf998,e2afb0bff1b8be759789d2c1bc9348de6f519f83
34,5.1,4.5.7,75,2355,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,e2afb0bff1b8be759789d2c1bc9348de6f519f83
35,5.6.6,4.5.7,75,7401,05221592672b903c703c0424dc77458e615c106d,e2afb0bff1b8be759789d2c1bc9348de6f519f83
36,6.1.1,4.5.7,75,8403,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,e2afb0bff1b8be759789d2c1bc9348de6f519f83
37,5.6,4.5.7,75,7300,074f3d1169f9688d15af4aff67e7e672cbeed782,e2afb0bff1b8be759789d2c1bc9348de6f519f83
38,5.4,4.5.7,75,6226,7b02df9be3cd9448699b5857586e1c6e2b28c007,e2afb0bff1b8be759789d2c1bc9348de6f519f83
39,4.5.6,5.1,2355,68,12d931e5a31e1692a428bbb34ba11cd63aebf998,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
40,5.6.5,5.1,0,5043,29a8d73d1b3fb39fd35c777bf07be40873391517,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
41,6.0,5.1,0,5452,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
42,6.1,5.1,0,6044,442f1a11b2365618f58f3f456a756995a6318225,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
43,5.3,5.1,0,3433,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
44,6.2,5.1,0,6740,4a28f29f95254b58f3cf0a0871bc632e998403f5,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
45,6.3,5.1,0,7755,43ea4f4c43aa89d4c435017f86d0da254e115e6b,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
46,5.6.6,5.1,0,5046,05221592672b903c703c0424dc77458e615c106d,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
47,5.4,5.1,0,3871,7b02df9be3cd9448699b5857586e1c6e2b28c007,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
48,5.1.1,5.1,0,7,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
49,5.6.3,5.1,0,5015,a68d912046cfbbe3f9d1493ab53414face1adae2,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
50,5.6.4,5.1,0,5032,52298794f1a34a4fd713ff8d441a0c13432e40a9,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
51,4.5.7,5.1,2355,75,e2afb0bff1b8be759789d2c1bc9348de6f519f83,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
52,5.6.2,5.1,0,5002,9c1c190107023ffca5f67d6d0184ff5371c5347f,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
53,6.1.1,5.1,0,6048,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
54,5.2,5.1,0,2872,f045be98be3ba032b6b19d71574038eeeb91803b,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
55,5.6,5.1,0,4945,074f3d1169f9688d15af4aff67e7e672cbeed782,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
56,5.6.1,5.1,0,4977,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
57,5.5,5.1,0,4596,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
58,5.6.7,5.1,0,5056,3de1bdeb3255fedc75885313205143f28aa89e9c,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
59,5.1.2,5.1,0,19,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,4aa9af3a6a4362b61db365fba32eb0a55d411e7a
60,5.1,5.1.1,7,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
61,5.6.4,5.1.1,0,5025,52298794f1a34a4fd713ff8d441a0c13432e40a9,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
62,5.3,5.1.1,0,3426,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
63,6.2,5.1.1,0,6733,4a28f29f95254b58f3cf0a0871bc632e998403f5,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
64,5.5,5.1.1,0,4589,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
65,6.3.1,5.1.1,0,7759,54be39f47d188340b14d4d9236bbf3d43b1db2ae,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
66,5.4,5.1.1,0,3864,7b02df9be3cd9448699b5857586e1c6e2b28c007,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
67,6.1,5.1.1,0,6037,442f1a11b2365618f58f3f456a756995a6318225,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
68,6.1.1,5.1.1,0,6041,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
69,5.6.7,5.1.1,0,5049,3de1bdeb3255fedc75885313205143f28aa89e9c,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
70,5.6.2,5.1.1,0,4995,9c1c190107023ffca5f67d6d0184ff5371c5347f,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
71,4.5.7,5.1.1,2362,75,e2afb0bff1b8be759789d2c1bc9348de6f519f83,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
72,6.0,5.1.1,0,5445,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
73,6.3,5.1.1,0,7748,43ea4f4c43aa89d4c435017f86d0da254e115e6b,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
74,5.1.2,5.1.1,0,12,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
75,5.2,5.1.1,0,2865,f045be98be3ba032b6b19d71574038eeeb91803b,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
76,4.5.6,5.1.1,2362,68,12d931e5a31e1692a428bbb34ba11cd63aebf998,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
77,5.6.3,5.1.1,0,5008,a68d912046cfbbe3f9d1493ab53414face1adae2,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
78,5.6.5,5.1.1,0,5036,29a8d73d1b3fb39fd35c777bf07be40873391517,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
79,5.6.1,5.1.1,0,4970,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
80,5.6,5.1.1,0,4938,074f3d1169f9688d15af4aff67e7e672cbeed782,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
81,5.6.6,5.1.1,0,5039,05221592672b903c703c0424dc77458e615c106d,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb
82,4.5.6,5.1.2,2374,68,12d931e5a31e1692a428bbb34ba11cd63aebf998,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
83,5.6.6,5.1.2,0,5027,05221592672b903c703c0424dc77458e615c106d,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
84,6.1,5.1.2,0,6025,442f1a11b2365618f58f3f456a756995a6318225,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
85,6.0,5.1.2,0,5433,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
86,6.1.1,5.1.2,0,6029,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
87,6.3,5.1.2,0,7736,43ea4f4c43aa89d4c435017f86d0da254e115e6b,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
88,6.3.1,5.1.2,0,7747,54be39f47d188340b14d4d9236bbf3d43b1db2ae,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
89,5.4,5.1.2,0,3852,7b02df9be3cd9448699b5857586e1c6e2b28c007,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
90,6.3.2,5.1.2,0,7754,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
91,5.6.7,5.1.2,0,5037,3de1bdeb3255fedc75885313205143f28aa89e9c,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
92,5.6.3,5.1.2,0,4996,a68d912046cfbbe3f9d1493ab53414face1adae2,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
93,5.2,5.1.2,0,2853,f045be98be3ba032b6b19d71574038eeeb91803b,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
94,5.5,5.1.2,0,4577,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
95,5.6,5.1.2,0,4926,074f3d1169f9688d15af4aff67e7e672cbeed782,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
96,6.2,5.1.2,0,6721,4a28f29f95254b58f3cf0a0871bc632e998403f5,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
97,5.3,5.1.2,0,3414,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
98,5.6.5,5.1.2,0,5024,29a8d73d1b3fb39fd35c777bf07be40873391517,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
99,5.6.2,5.1.2,0,4983,9c1c190107023ffca5f67d6d0184ff5371c5347f,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
100,5.1.1,5.1.2,12,0,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
101,4.5.7,5.1.2,2374,75,e2afb0bff1b8be759789d2c1bc9348de6f519f83,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
102,5.1,5.1.2,19,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
103,5.6.4,5.1.2,0,5013,52298794f1a34a4fd713ff8d441a0c13432e40a9,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
104,5.6.1,5.1.2,0,4958,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
