,fixing_commit,inducing_commit,fixing_tag,inducing_tag
0,4e162555b40c43254f5b4e76470763bd6e706367,bc9b9edb7c887a74c47c59d615c48ae7024ab392,5.6,5.6
1,d6393623490fb38fa14c7e3a4a72bbcdbc47b835,1fd5d8abd320428e1e8e4cd1b3ebf793678b10f2,6.3,3.6
2,18f20eed6127994e54d2fcc7f9772fdcafcfd25d,f6df5fd53b68e63731fdec370778f827cddd6a7b,7.8,7.8
3,3383b0f376ddbfc348ecedc6fefc72adba929286,d82358c63d0fb979fb3cc27429a42ec833dc161a,6.2,6.0
4,63a3a432ef8a6127aa690b2bda2abab3c0ff82a5,6c37e7a9c7ef1b048c2067250235e24b386f4fc9,7.8,7.8
5,0b547fab77e6b0e62d2357ac9c0c9102aa1a643b,d662d0c0269e1a12da0c3ecdb8f9d33b765ccdcc,8.4.0.35506,8.3.0.34182
6,82d291e0327d14bac525979b952a8a45e68c1104,ab9805fd7b22aa2c488d59d38d8f0cf707e7763d,6.3,5.5
7,aac58f3d481f23639a900489cd52857c0f16b1b2,4c0f33b5b9cf105acb34b2dea37a3e8aab9fa960,5.6,5.1
8,9e553274fbe228c06b92527ace1446d08ee244c3,bf4118d6a9ceb9ad24274cdc6537d4a607121815,7.6,5.2
9,8be4454cd37014235a372dba54caea9ae25a5722,59c61bf59fd3778f723021f5710d27165901760f,7.5,6.7
10,f181b82977897bd09c3cb9106c98ecd7369550ad,eea589c564a924993e8edba9d8fa9691e756bce4,6.7,6.3
11,2b47fe0ad27f117db8ff6736bab7ec0c37ede256,0ae5844018f67dcdfc2c72251164b72048ba7392,6.3,5.4
12,cb3209eefa3f943524effb7b0d4f03c4bf9a45f6,bc4d2e6948669842ff325c789f570a4f46f0af41,8.1.0.31237,7.5
13,5f0c85650faf2514b1c74fe6389a80574a415e39,4f7d6f6cbc4ab1d7d272d1a4e84266027a5ad3f1,8.4.0.35506,8.2.0.32929
14,5e93a5a3e81c5285e354d4632024c31581bd7ae5,4c9a714da9a988f779652f43e53bf2dc23d8cbeb,8.4.0.35506,7.5
15,4546b5560c8786816eceb7ded11254a5518f49fa,5a6746e93985fd04c2667186b6826a320456a9ae,5.2,4.2
16,b2ca3f63d2a6ab89aba6041f133ed6067b8f81e5,a5fb1f9e0ce662aa7f8a8d6e79645dc9438cee82,6.7.2,6.4
17,583e42c16797bf57162ebd502e12241d8765a8fc,16b42344b1f333f482a2a98c6c404d796d44ca5a,6.6,6.6
18,49f29073c935c97e52d4f7d2a8e02e79391e3ff2,99aa7e8a80ba86da975059a59295c07666240d4a,7.0,6.0
19,2bc87f33684239adbfa746db78ca73290688adaa,20ed9553b9a1012f341c1f5d4a594221ae437600,7.5,6.7
20,1361ba5fb9d1bf5f98cba5feff9227f177a44e94,2ce306a42f031d75c4ec4f12a69e2bc580f4a1d5,7.7,6.3
21,784829702ff22927a87b51091b82724609e6efbe,1df148803610cd54f182b8636f01c0e6ece92b19,6.7,5.2
22,343be23904dcb520ea86c4d6070cd3be272941da,b3a419922a4bad044c8f6beb9e05e2a59e3422e8,7.0,6.4
23,4d950b9bb39dab261ea5da4d719cf8fd2c9d8d38,2dd24c26aec365b6a2afcb3c27f3b46798e9900d,8.0,6.7
24,715ef2a837a34a12cfad43fc806f5103f41233aa,d665528c8751ead9ca93e3d18dd8600fac92834b,7.9,6.4
25,862136c48612703748db03dd7d52df515a86d7e6,119cacc37ed66c5fcf08c7a3bf4197db79c58c39,7.6,7.5
26,56194c84a561bfb8b446bf5d87c73f41e8822dab,5595c2f862cca1d07312c9219013f836e45a5f90,6.4,6.3
27,7562d01e1fd1b72a70fd3c392145a1dbebb28155,822405efd0ddde6b1e123c40cc1255e9b57c05f8,8.5.0.37579,8.2.0.32929
28,860d96245089300ba787786b7266ea687c3df431,f2f3ede233eca98118c026c7cf151145eb0dfa99,7.8,7.8
29,3365182508367bfcc080452d7cf932f9cfbf8c1b,b1e8eaffc8569fcd1005a4a6f5d2768649c06c0c,8.2.0.32929,7.7
