,issue_id,component_name,component_id
0,99607,Documentation,11067
1,99569,Authentication & Authorization,11086
2,99563,Web API,11100
3,99554,Web API,11100
4,99553,Issues,11096
5,99553,Web,11366
6,99507,Documentation,11067
7,99500,Web,11366
8,99439,Database,11077
9,99406,UX/UI,11968
10,99379,Branch & PR,11094
11,99369,Web,11366
12,99361,Web,11366
13,99351,Cluster,12088
14,99351,Compute Engine,11118
15,99301,Web,11366
16,99290,Portfolio & Application,12272
17,99217,Web,11366
18,99182,Branch & PR,11094
19,99147,Portfolio & Application,12272
20,99145,Web,11366
21,99142,Security Hotspots,12573
22,99142,Web API,11100
23,99132,ElasticSearch,11119
24,99114,Security Hotspots,12573
25,99113,Security Hotspots,12573
26,99049,Documentation,11067
27,98954,Web,11366
28,98951,Database,11077
29,98948,Web,11366
30,98926,UX/UI,11968
31,98885,Branch & PR,11094
32,98885,Settings,11891
33,98855,Branch & PR,11094
34,98843,Branch & PR,11094
35,98841,Branch & PR,11094
36,98840,Branch & PR,11094
37,98820,Portfolio & Application,12272
38,98820,Web,11366
39,98813,Web API,11100
40,98807,Web,11366
41,98804,Web,11366
42,98801,Web,11366
43,98797,Web API,11100
44,98796,Database,11077
45,98755,Portfolio & Application,12272
46,98755,Web,11366
47,98658,Portfolio & Application,12272
48,98652,Branch & PR,11094
49,98638,UX/UI,11968
50,98603,Portfolio & Application,12272
51,98596,Authentication & Authorization,11086
52,98566,Scanner,11105
53,98566,Web,11366
54,98551,Web,11366
55,98542,Branch & PR,11094
56,98528,Rules,11073
57,98503,Organizations,11974
58,98496,Settings,11891
59,98496,Web API,11100
60,98495,ElasticSearch,11119
61,98495,Settings,11891
62,98482,Web,11366
63,98471,Database,11077
64,98471,Portfolio & Application,12272
65,98444,Branch & PR,11094
66,98438,Security Hotspots,12573
67,98438,UX/UI,11968
68,98404,Branch & PR,11094
69,98403,Branch & PR,11094
70,98350,Database,11077
71,98342,Web,11366
72,98308,Database,11077
73,98294,Branch & PR,11094
74,98268,Scanner,11105
75,98244,ElasticSearch,11119
76,98244,Web API,11100
77,98234,Quality Profile,11074
78,98234,Web API,11100
79,98205,UX/UI,11968
80,98196,Portfolio & Application,12272
81,98196,Web,11366
82,98190,Portfolio & Application,12272
83,98190,Web,11366
84,98166,Database,11077
85,98134,Security Hotspots,12573
86,98134,Web,11366
87,98118,Compute Engine,11118
88,98118,Web API,11100
89,98107,Web,11366
90,98104,Web,11366
91,98103,Web,11366
92,98092,Authentication & Authorization,11086
93,98092,Organizations,11974
94,98025,Authentication & Authorization,11086
95,98011,Rules,11073
96,98011,Web,11366
97,98010,UX/UI,11968
98,98008,Web API,11100
99,98005,Branch & PR,11094
100,97937,Measures,11112
101,97937,Telemetry,12092
102,97898,Database,11077
103,97813,UX/UI,11968
104,97786,Organizations,11974
105,97786,Quality Profile,11074
106,97777,Branch & PR,11094
107,97773,Branch & PR,11094
108,97773,Web,11366
109,97673,UX/UI,11968
110,97672,UX/UI,11968
111,97670,UX/UI,11968
112,97669,Web,11366
113,97668,UX/UI,11968
114,97659,UX/UI,11968
115,97575,Web,11366
116,97571,Web,11366
117,97532,UX/UI,11968
118,97525,Branch & PR,11094
119,97521,Web API,11100
120,97413,Web,11366
121,97397,Telemetry,12092
122,97393,Web,11366
