,issue_id,fixVersion_name,fixVersion_id
0,99607,8.6,16435
1,99584,8.6,16435
2,99583,8.6,16435
3,99582,8.6,16435
4,99581,8.6,16435
5,99571,8.6,16435
6,99571,7.9.6,16510
7,99477,8.6,16435
8,99476,8.6,16435
9,99475,8.6,16435
10,99474,8.6,16435
11,99473,8.6,16435
12,99472,8.6,16435
13,99415,7.9.5,16486
14,99290,7.9.5,16486
15,99290,8.2,15301
16,99145,8.5,16342
17,99114,8.6,16435
18,99113,8.6,16435
19,99017,7.9.5,16486
20,99014,7.9.5,16486
21,98954,8.6,16435
22,98885,8.6,16435
23,98832,8.6,16435
24,98830,8.6,16435
25,98828,8.6,16435
26,98826,8.6,16435
27,98824,8.6,16435
28,98817,8.6,16435
29,98807,8.6,16435
30,98804,8.6,16435
31,98796,8.6,16435
32,98757,8.6,16435
33,98738,8.6,16435
34,98735,8.6,16435
35,98734,8.6,16435
36,98720,8.6,16435
37,98693,8.6,16435
38,98652,8.6,16435
39,98596,8.6,16435
40,98575,8.6,16435
41,98566,8.5.1,16458
42,98566,8.6,16435
43,98557,8.6,16435
44,98549,8.5.1,16458
45,98539,8.6,16435
46,98533,8.6,16435
47,98482,8.6,16435
48,98443,7.9.5,16486
49,98443,8.6,16435
50,98420,8.5.1,16458
51,98420,8.6,16435
52,98404,8.6,16435
53,98403,8.6,16435
54,98350,8.5.1,16458
55,98350,8.6,16435
56,98308,8.6,16435
57,98301,8.6,16435
58,98294,8.6,16435
59,98288,8.6,16435
60,98287,8.6,16435
61,98286,8.6,16435
62,98284,8.6,16435
63,98268,8.6,16435
64,98244,8.6,16435
65,98234,8.6,16435
66,98203,8.6,16435
67,98190,8.6,16435
68,98166,8.5.1,16458
69,98166,8.6,16435
70,98150,8.6,16435
71,98134,8.6,16435
72,98118,8.6,16435
73,98107,8.6,16435
74,98104,8.6,16435
75,98103,8.6,16435
76,98097,8.5.1,16458
77,98097,8.6,16435
78,98092,8.6,16435
79,98053,8.6,16435
80,98050,8.6,16435
81,98045,8.6,16435
82,98019,8.5,16342
83,98011,8.6,16435
84,97905,8.5,16342
85,97898,8.6,16435
86,97864,8.5,16342
87,97858,8.5,16342
88,97855,8.5,16342
89,97802,8.5,16342
90,97786,8.6,16435
91,97775,8.5,16342
92,97773,8.5,16342
93,97740,8.5,16342
94,97668,8.6,16435
95,97575,8.5,16342
96,97534,8.5,16342
97,97525,8.5,16342
98,97413,8.5,16342
99,97397,8.5,16342
100,97393,8.5,16342
101,97392,8.5,16342
102,97387,8.5,16342
103,97384,8.5,16342
104,97383,8.5,16342
105,97360,8.5,16342
106,97353,8.6,16435
107,97265,8.5,16342
108,97230,8.5,16342
109,97223,8.5,16342
110,97222,8.5,16342
111,97221,8.5,16342
112,97146,8.5,16342
113,97141,8.6,16435
114,97134,8.5,16342
115,97123,8.5,16342
116,97122,8.5,16342
117,97114,8.5,16342
118,97065,8.5,16342
119,97063,8.5,16342
120,97061,8.5,16342
121,97050,8.5,16342
122,96944,8.5,16342
123,96941,8.5,16342
124,96934,8.5,16342
125,96932,8.5,16342
126,96916,8.5,16342
127,96912,8.5,16342
128,96902,8.6,16435
129,96894,8.5,16342
130,96892,8.5,16342
131,96887,8.5,16342
132,96874,8.5,16342
133,96862,8.5,16342
134,96860,8.5,16342
135,96824,8.5,16342
136,96808,8.5,16342
137,96776,8.5,16342
138,96774,8.5,16342
139,96772,8.5,16342
140,96767,8.5,16342
141,96746,8.5,16342
142,96744,8.5,16342
143,96716,8.4.2,16404
144,96716,8.5,16342
145,96711,8.5,16342
146,96697,8.5,16342
147,96696,8.5,16342
148,96691,8.5,16342
149,96668,8.5,16342
150,96632,8.5,16342
151,96608,8.5,16342
152,96547,8.5,16342
153,96544,8.5,16342
154,96532,8.6,16435
155,96509,8.5,16342
156,96503,8.5,16342
157,96443,8.5,16342
158,96424,8.5,16342
159,96405,8.5,16342
160,96398,8.5,16342
161,96391,8.5,16342
162,96367,8.5,16342
163,96331,8.5,16342
164,96330,8.5,16342
165,96313,8.5,16342
166,96296,8.5,16342
167,96290,8.5,16342
168,96254,8.5,16342
169,96189,8.5,16342
170,96173,8.5,16342
171,96166,8.5,16342
172,96145,8.5,16342
173,96138,9.0,15682
174,96062,8.5,16342
175,96056,8.5,16342
176,96055,8.5,16342
177,96037,8.5,16342
178,96001,8.5,16342
179,95998,8.5,16342
180,95997,8.5,16342
181,95996,8.5,16342
182,95966,8.5,16342
183,95956,8.5,16342
184,95951,8.5,16342
185,95923,8.5,16342
186,95887,8.4.1,16358
187,95887,8.5,16342
188,95863,8.4.2,16404
189,95863,8.5,16342
190,95829,8.5,16342
191,95826,8.5,16342
192,95800,8.4.1,16358
193,95800,8.5,16342
194,95791,8.5,16342
195,95777,8.5,16342
196,95773,8.4.1,16358
197,95773,8.5,16342
198,95772,8.4.1,16358
199,95772,8.5,16342
200,95754,8.5,16342
201,95731,8.5,16342
202,95717,8.2,15301
203,95710,8.5,16342
204,95649,8.5,16342
205,95644,8.5,16342
206,95621,8.5,16342
207,95620,8.5,16342
208,95590,8.5,16342
209,95565,8.4,15833
210,95562,8.6,16435
211,95560,8.5,16342
212,95535,8.4,15833
213,95534,8.6,16435
214,95488,8.4,15833
215,95471,8.5,16342
216,95465,8.5,16342
217,95463,8.4,15833
218,95454,8.4,15833
219,95439,8.4,15833
220,95430,8.5,16342
221,95353,8.5,16342
222,95339,8.4,15833
223,95319,8.4,15833
224,95316,8.4,15833
225,95056,8.5,16342
226,95053,8.4,15833
227,95044,8.5,16342
228,94999,8.5,16342
229,94977,8.4,15833
230,94971,8.4,15833
231,94970,8.4,15833
232,94951,8.5,16342
233,94950,8.4,15833
