,issue_id,label
0,98118,compute_engine
1,98118,governance
2,98118,web_api
3,98084,hardening
4,98084,usability-testing-findings
5,97982,JenkinsIntegration
6,97982,usability-testing-findings
7,97868,trello:5f71b7467b498d57987bfe0a
8,97813,hardening
9,97813,usability-testing-findings
10,97673,hardening
11,97673,usability-testing-findings
12,97672,hardening
13,97672,usability-testing-findings
14,97670,hardening
15,97670,usability-testing-findings
16,97669,hardening
17,97669,usability-testing-findings
18,97668,hardening
19,97668,usability-testing-findings
20,97659,hardening
21,97659,usability-testing-findings
22,97457,trello:5f5f599f68da692faa3b3ef2
23,97413,marketing
24,97384,database
25,97353,ost
26,97353,quality_gates
27,97239,deprecation
28,97207,gitlab
29,96944,hardening-sept
30,96932,group-permission-hardening
31,96774,group-permission-hardening
32,96772,group-permission-hardening
33,96767,group-permission-hardening
34,96709,group-permission-hardening
35,96697,hardening-sept
36,96361,SonarCloud?
37,96138,web-exposed-libraries
38,96133,web-exposed-libraries
39,95887,database
40,95887,upgrade
41,95731,hardening-sept
42,95678,SonarCloud?
43,95621,SonarCloud?
44,95620,hotspots
45,95590,hardening-sept
46,91254,SonarQube
47,95454,issues
48,95053,components
49,94827,gradle
50,94827,update-plugins-bot
51,94826,gradle
52,94654,deprecation
53,94654,group-permission-hardening
54,94536,hardening-sept
55,94535,deprecation
56,94403,branch
57,94403,scanner
58,94403,scm
59,94366,update-plugins-bot
60,94283,hardening-jl-8.4
61,94282,hardening-jl-8.4
62,94213,ost
63,94127,SonarQube
64,94002,update-plugins-bot
65,93829,administration
66,93829,api
67,93829,pull-request
68,93657,hardening-week16
69,93654,SonarQube
70,93649,hardening-8.3
71,93606,SonarCloud?
72,93546,hardening-8.3
73,93546,multiple-issue-location
74,93405,ost
75,93403,hardening-8.3
76,93320,SonarCloud?
77,93320,pull-request
78,93318,hardening-8.3
79,93318,multiple-issue-location
80,93058,hardening-8.3
81,93050,SonarCloud?
82,92984,performance
83,92962,hardening-8.3
84,92956,docker
85,92846,hotspots
86,92823,docker
87,92822,docker
88,92769,SonarCloud?
89,92723,SonarCloud?
90,92661,hardening-8.3
91,92659,multiple-issue-location
92,92589,multiple-issue-location
93,92518,hardening-feb-20
94,92511,hardening-8.3
95,92511,hotspots
96,92491,docker
97,92491,logs
98,92403,docker
99,92365,hardening-feb-20
100,92356,performance
101,92349,hardening-8.3
102,92294,compute_engine
103,92285,ost
104,92205,docker
105,92204,docker
106,92203,docker
107,92202,docker
108,92201,docker
109,92132,ost
110,92033,hotspots
111,91979,hotspots
112,91873,hotspots
113,91787,accessibility
114,91766,hotspots
115,91763,accessibility
116,91762,accessibility
117,91732,ost
118,91712,hotspots
119,91679,multiple-issue-location
120,91654,hardening-feb-20
121,91654,multiple-issue-location
122,91574,hotspots
123,91530,hotspots
124,91523,hotspots
125,91370,hardening-8.3
126,91370,hotspots
127,91361,SonarCloud?
128,91351,hotspots
129,91349,hotspots
130,91341,hotspots
131,91332,hardening-8.3
132,91332,hotspots
133,91331,hotspots
134,91330,SonarCloud?
135,91328,accessibility
136,91203,docker
137,91201,SonarCloud?
138,91172,SonarCloud?
139,91172,accessibility
140,91171,accessibility
141,91170,SonarCloud?
142,91170,accessibility
143,91163,accessibility
144,91162,SonarCloud?
145,91162,accessibility
146,91160,SonarCloud?
147,91160,accessibility
148,91073,onboarding
149,90772,SonarCloud?
150,90752,onboarding
151,90680,Core
152,90680,ost
153,90680,ui
154,90680,web
155,90665,deprecation
156,90613,onboarding
157,90543,issue-flows
158,90334,SonarQube
159,90154,performance
160,90056,SonarCloud?
161,89959,better-snippets
162,89926,SonarCloud?
163,89926,ost
164,89863,scanner
165,89633,hardening-sprint
166,89607,onboarding
167,89596,hardening-sprint
168,89591,Marketing
169,89590,Marketing
170,89584,hardening-sprint
171,89571,hardening-sprint
172,89558,better-snippets
173,89557,better-snippets
174,89556,better-snippets
175,89554,better-snippets
176,89539,hardening-sprint
177,89451,hardening-sprint
178,89428,hardening-sprint
179,89375,hardening-portfolio-application
180,89316,hardening-sprint
181,89295,hardening-sprint
182,89293,hardening-sprint
183,89277,colors
184,89277,unified-ui
185,89257,colors
186,89257,unified-ui
187,89256,colors
188,89256,unified-ui
189,89255,colors
190,89255,unified-ui
191,89254,colors
192,89254,unified-ui
193,89252,colors
194,89252,unified-ui
195,89250,colors
196,89250,unified-ui
197,89249,colors
198,89249,unified-ui
199,89243,colors
200,89243,unified-ui
201,89186,colors
202,89186,unified-ui
203,89183,hardening-sprint
204,89180,hardening-sprint
205,89177,hardening-sprint
206,89171,colors
207,89171,unified-ui
208,89170,colors
209,89170,unified-ui
210,89169,hardening-sprint
211,89140,hardening-sprint
212,89136,hardening-sprint
213,89132,hardening-sprint
214,89125,onboarding
215,89101,hardening-sprint
216,89099,colors
217,89099,unified-ui
218,89098,colors
219,89098,unified-ui
220,89097,colors
221,89097,unified-ui
222,89096,colors
223,89096,unified-ui
224,89094,colors
225,89094,unified-ui
226,89091,colors
227,89091,unified-ui
228,89065,hardening-sprint
229,89065,ost
230,89017,hardening-sprint
231,88941,docker
232,88892,hardening-sprint
233,88858,SonarQube
234,88792,hardening-sprint
235,88642,ost
236,88638,ost
237,88525,security
238,88316,hardening-sprint
239,88178,accessibility
240,87461,accessibility
241,87411,hardening
242,87411,hardening-sprint
243,87376,ost
244,87291,SonarCloud?
245,87290,SonarCloud?
246,87118,ost
247,87062,docker
248,86937,seb
249,86931,quality_profiles
250,86929,hardening-sept
251,86929,quality_profiles
252,86927,quality_profiles
253,86735,github
254,86497,hardening-sprint
255,86366,ui
256,86362,web
257,86323,hardening-jacek
258,86318,Languages
259,86064,deprecation
260,86064,hardening-jacek
261,85901,github
262,85901,pull-request
263,85900,deprecation
264,85875,hardening-LTS-7.x
265,85870,hardening-LTS-7.x
266,85818,hardening-LTS-7.x
267,85793,hardening-LTS-7.x
268,85792,hardening-LTS-7.x
269,85706,hardening-LTS-7.x
270,85683,hardening-LTS-7.x
271,85677,hardening-LTS-7.x
272,85676,hardening-LTS-7.x
273,85628,hardening-LTS-7.x
274,85622,SonarCloud?
275,85622,accessibility
276,85617,hardening-LTS-7.x
277,85608,hardening-LTS-7.x
278,85579,hardening-LTS-7.x
279,85578,hardening-LTS-7.x
280,85570,hardening-LTS-7.x
281,85538,hardening-LTS-7.x
282,85494,hardening-LTS-7.x
283,85492,hardening-LTS-7.x
284,85443,hardening-LTS-7.x
285,85437,hardening-LTS-7.x
286,85394,hardening-LTS-7.x
287,85376,hardening-LTS-7.x
288,85374,hardening-LTS-7.x
289,85374,onboarding-philippe
290,85336,hardening-LTS-7.x
291,85314,hardening-LTS-7.x
292,85289,hardening-LTS-7.x
293,85286,hardening-LTS-7.x
294,85255,accessibility
295,85253,accessibility
296,85250,accessibility
297,85249,accessibility
298,85185,hardening-LTS-7.x
299,85169,hardening-portfolio-application
300,85157,hardening-LTS-7.x
301,85022,hardening-LTS-7.x
302,84983,hardening-LTS-7.x
303,84983,onboarding-philippe
304,84948,hardening-LTS-7.x
305,84935,hardening-LTS-7.x
306,84919,hardening-LTS-7.x
307,84917,hardening-LTS-7.x
308,84883,hardening-LTS-7.x
309,84848,hardening-LTS-7.x
310,84777,ui
311,84777,web
312,84772,hardening-LTS-7.x
313,84770,hardening-LTS-7.x
314,84753,hardening-LTS-7.x
315,84742,hardening-LTS-7.x
316,84722,hardening-LTS-7.x
317,84718,hardening-LTS-7.x
318,84574,hardening-LTS-7.x
319,84548,hardening-LTS-7.x
320,84419,hardening-LTS-7.x
321,84392,hardening-LTS-7.x
322,84388,web
323,84387,hardening-LTS-7.x
324,84379,consistency
325,84371,consistency
326,84371,ost
327,84369,hardening-LTS-7.x
328,84319,hardening-LTS-7.x
329,84315,hardening-LTS-7.x
330,84305,hardening-LTS-7.x
331,84297,hardening-LTS-7.x
332,84284,hardening-LTS-7.x
333,84247,onboarding
334,84242,accessibility
335,84231,better-snippets
336,84174,security
337,84148,hardening-LTS-7.x
338,84066,hardening-sept
339,84050,hardening-LTS-7.x
340,84049,hardening-LTS-7.x
341,84031,deprecation
342,84029,accessibility
343,84029,colorblindness
344,84023,hardening-LTS-7.x
345,84016,hardening-LTS-7.x
346,83977,hardening-LTS-7.x
347,83910,hardening-LTS-7.x
348,83904,hardening-LTS-7.x
349,83811,hardening-LTS-7.x
350,83810,hardening-LTS-7.x
351,83805,accessibility
352,83805,colorblindness
353,83803,accessibility
354,83803,colorblindness
355,83774,SonarQube
356,83773,hardening-LTS-7.x
357,83772,SonarQube
358,83742,hardening-LTS-7.x
359,83641,hardening-LTS-7.x
360,83640,hardening-LTS-7.x
361,83638,hardening-LTS-7.x
362,83548,hardening-LTS-7.x
363,83543,hardening-LTS-7.x
364,83312,hardening-LTS-7.x
365,83310,hardening-LTS-7.x
366,83292,hardening-LTS-7.x
367,83227,hardening-sprint
368,83168,hardening-LTS-7.x
369,83089,SonarCloud?
370,82977,hardening-LTS-7.x
371,82895,ost
372,82892,deprecation
373,82870,hardening-LTS-7.x
374,82858,hardening-LTS-7.x
375,82858,security
376,82627,hardening-LTS-7.x
377,82367,hardening-LTS-7.x
378,82367,views
379,82258,accessibility
380,82258,blindness
381,82239,accessibility
382,82237,accessibility
383,82236,accessibility
384,82236,hardening-LTS-7.x
385,82174,accessibility
386,82172,accessibility
387,82093,accessibility
388,82093,blindness
389,82091,SonarCloud
390,82091,SonarQube
391,82090,SonarCloud
392,82090,SonarQube
393,82085,SonarCloud
394,82085,SonarQube
395,82084,SonarCloud
396,82084,SonarQube
397,82083,accessibility
398,82083,onboarding-philippe
399,82082,accessibility
400,82082,hardening-LTS-7.x
401,82081,accessibility
402,82080,accessibility
403,82035,UX
404,81828,SonarQube
405,81825,SonarQube
406,81711,hardening-LTS-7.x
407,81689,seb
408,81677,hardening-LTS-7.x
409,81504,web
410,81396,accessibility
411,81396,hardening-LTS-7.x
412,81366,accessibility
413,81366,hardening-LTS-7.x
414,81365,accessibility
415,81365,hardening-LTS-7.x
416,81327,UX
417,81246,hardening-LTS-7.x
418,81223,hardening-LTS-7.x
419,81223,seb
420,81221,UX
421,70393,UX
422,81102,SonarQube
423,81032,hardening-LTS-7.x
424,80702,SonarCloud?
425,80423,hardening-auth-vsts-january-2019
426,80360,hardening-sprint
427,80351,hardening-LTS-7.x
428,80245,accessibility
429,80245,colorblindness
430,80245,sc-hardening
431,80239,seb
432,80134,hardening-bbc-december-18
433,80091,hardening-LTS-7.x
434,79589,hardening-LTS-7.x
435,79496,issues
436,79496,quality_gates
437,79428,SonarCloud?
438,79428,hardening-jacek
439,79323,onboarding-philippe
440,79032,performance
441,79030,seb
442,78977,seb
443,78977,sonarcloud
444,78754,seb
445,78743,deprecation
446,78702,hardening-LTS-7.x
447,78654,hardening-LTS-7.x
448,78649,seb
449,78648,seb
450,78598,deprecation
451,78497,hardening-LTS-7.x
452,78382,branch
453,78382,branches
454,78382,housekeeping
455,78382,pull-request
456,78333,seb
457,78333,sonarcloud
458,78282,seb
459,78267,seb
460,77955,seb
461,77898,pull-request
462,77649,hardening-LTS-7.x
463,77476,group-permission-hardening
464,77374,seb
465,77255,seb
466,77152,seb
467,76927,hardening-LTS-7.x
468,76900,SonarQube
469,76850,seb
470,76792,seb
471,76791,seb
472,76789,seb
473,76787,seb
474,76729,seb
475,76712,IE
476,76711,hardening-LTS-7.x
477,76711,seb
478,76542,accessibility
479,76491,hardening-LTS-7.x
480,76430,SonarCloud?
481,76430,hardening-sprint
482,76429,seb
483,76428,seb
484,76427,seb
485,76426,seb
486,76425,seb
487,76424,seb
488,76423,seb
489,76422,seb
490,76421,seb
491,76420,seb
492,76419,seb
493,76418,seb
494,76417,seb
495,76416,seb
496,76280,pull-request
497,76229,seb
498,76216,accessibility
499,76083,accessibility
500,75935,harden
501,75919,coverage
502,75919,pull-request
503,75917,coverage
504,75917,pull-request
505,75816,seb
506,75791,hardening-LTS-7.x
507,75685,deprecation
508,75685,hardening-sprint
509,75593,seb
510,75580,scanner
511,75580,scm
512,75579,scm
513,75540,scanner
514,75309,significant
515,75265,hardening-july-18
516,75243,hardening-july-18
517,75176,SonarQube
518,74725,SonarQube
519,74998,hardening
520,74936,ost
521,74936,quality_profiles
522,74841,hardening-july-18
523,74779,hardening-LTS-7.x
524,74704,SonarQube
525,74703,SonarQube
526,74644,SonarCloud
527,74589,SonarCloud
528,74589,hardening-july-18
529,74577,SonarCloud
530,74561,pull-request
531,74561,sonarcloud
532,74561,vsts
533,74430,deprecation
534,74430,hardening-LTS-7.x
535,74370,scanner
536,74366,hardening-july-18
537,74302,pull-request
538,74238,hardening-july-18
539,74175,hardening
540,74113,seb
541,74078,hardening-july-18
542,74024,hardening
543,74005,hardening-july-18
544,73984,background-tasks
545,73983,background-tasks
546,73982,background-tasks
547,73978,background-tasks
548,73973,issues
549,73870,seb
550,73820,seb
551,63924,lambda
552,63917,lambda
553,65105,lambda
554,73775,compute_engine
555,73629,deprecation
556,73622,logs
557,73622,sonarcloud
558,73580,logs
559,73580,sonarcloud
560,73576,branch
561,73576,pull-request
562,73554,compute_engine
563,73554,sonarcloud
564,73486,pull-request
565,73486,vsts
566,73441,pull-request
567,73441,vsts
568,73437,hardening-july-18
569,73437,seb
570,73437,sonarcloud
571,73425,ui
572,73396,build
573,73353,SonarQube
574,73252,branch
575,73252,pull-request
576,73132,performance
577,73129,bulk
578,73095,seb
579,73073,marketing
580,73007,pull-request
581,73007,tfs
582,73007,vsts
583,71913,pull-request
584,71913,tfs
585,71913,vsts
586,70752,deprecation
587,71489,seb
588,60856,governance
589,66041,seb
590,71319,significant
591,59206,deprecation
592,69890,SonarQube
593,64416,hardening
594,64416,ui
595,71548,governance
596,64149,seb
597,71902,hardening-july-18
598,72812,SonarCloud
599,72594,SonarCloud
600,72594,hardening-july-18
601,72551,accessibility
602,72551,colorblindness
603,72549,accessibility
604,72548,accessibility
605,72547,performance
606,72545,SonarCloud
607,72544,performance
608,72543,performance
609,72542,performance
610,72538,performance
611,72537,performance
612,72134,SonarCloud
613,72134,web
614,72114,SonarQube
615,71900,seb
616,71900,significant
617,71862,scanner
618,71645,sonarcloud
