,issue_id,subtask_key,subtask_id
0,99379,SONAR-14134,99380
1,99379,SONAR-14135,99382
2,99379,SONAR-14136,99383
3,99379,SONAR-14137,99384
4,98843,SONAR-14098,99040
5,98843,SONAR-14109,99112
6,98841,SONAR-14099,99041
7,98841,SONAR-14102,99053
8,98841,SONAR-14105,99108
9,98840,SONAR-14095,99037
10,98840,SONAR-14096,99038
11,98840,SONAR-14097,99039
12,98840,SONAR-14103,99054
13,98840,SONAR-14106,99109
14,98840,SONAR-14107,99110
15,98840,SONAR-14108,99111
16,98840,SONAR-14158,99562
17,98840,SONAR-14168,99609
18,98820,SONAR-14144,99437
19,98820,SONAR-14145,99438
20,98784,SONAR-14142,99435
21,98784,SONAR-14143,99436
22,98734,SONAR-14034,98735
23,98734,SONAR-14035,98736
24,98734,SONAR-14036,98737
25,98734,SONAR-14037,98738
26,98734,SONAR-14040,98763
27,98734,SONAR-14041,98767
28,98734,SONAR-14080,98963
29,98734,SONAR-14138,99400
30,98734,SONAR-14169,99621
31,98658,SONAR-14126,99319
32,97141,SONAR-13981,98311
33,97141,SONAR-13982,98312
34,96440,SONAR-14100,99047
35,94616,SONAR-13435,94617
36,94616,SONAR-13437,94619
37,94604,SONAR-13430,94609
38,94604,SONAR-13431,94610
39,94601,SONAR-13428,94607
40,94601,SONAR-13429,94608
41,94601,SONAR-13432,94611
42,94601,SONAR-13433,94614
43,94601,SONAR-13465,94807
44,94601,SONAR-13466,94809
45,92884,SONAR-13256,93294
46,92744,SONAR-13169,92800
47,92744,SONAR-13170,92801
48,92744,SONAR-13171,92802
49,92744,SONAR-13172,92803
50,92744,SONAR-13173,92804
51,92744,SONAR-13174,92805
52,92744,SONAR-13175,92806
53,92744,SONAR-13176,92807
54,92744,SONAR-13177,92808
55,92744,SONAR-13179,92810
56,92744,SONAR-13180,92811
57,92744,SONAR-13274,93432
58,92231,SONAR-13916,97972
59,92231,SONAR-13917,97973
60,92231,SONAR-13918,97974
61,92231,SONAR-13919,97975
62,92100,SONAR-13043,92065
63,92100,SONAR-13063,92137
64,92100,SONAR-13064,92138
65,92100,SONAR-13065,92139
66,90898,SONAR-14127,99320
67,90668,SONAR-12795,90748
68,89527,SONAR-12705,90325
69,89527,SONAR-12706,90326
70,89527,SONAR-12707,90327
71,89917,SONAR-12700,90278
72,89917,SONAR-12738,90442
73,89917,SONAR-12742,90455
74,89917,SONAR-12744,90483
75,89914,SONAR-12743,90456
76,88892,SONAR-12525,89177
77,88892,SONAR-12528,89180
78,88892,SONAR-12531,89183
79,88145,SONAR-12431,88146
80,86232,SONAR-13388,94400
81,86232,SONAR-13389,94401
82,84207,SONAR-12037,84197
83,84207,SONAR-12054,84237
84,84207,SONAR-12065,84256
85,84142,SONAR-12205,85511
86,82474,SONAR-11799,82524
87,82474,SONAR-11809,82652
88,82474,SONAR-11810,82659
89,82474,SONAR-11826,82860
90,82473,SONAR-11827,82861
91,82085,SONAR-11837,82964
92,82085,SONAR-11838,82965
93,82085,SONAR-11839,82966
94,82085,SONAR-11840,82967
95,82085,SONAR-11841,82969
96,82085,SONAR-11842,82971
97,82085,SONAR-11843,82972
98,82085,SONAR-11844,82973
99,82085,SONAR-11852,83087
100,82085,SONAR-11865,83214
101,80637,SONAR-11627,80638
102,80637,SONAR-11628,80639
103,80637,SONAR-11652,80824
104,80637,SONAR-11654,80837
105,79133,SONAR-11540,79366
106,79132,SONAR-11527,79247
107,77901,SONAR-11376,77943
108,77901,SONAR-11378,77947
109,76426,SONAR-11242,76427
110,76423,SONAR-11232,76417
111,76423,SONAR-11233,76418
112,76423,SONAR-11234,76419
113,76423,SONAR-11235,76420
114,76423,SONAR-11236,76421
115,76423,SONAR-11237,76422
116,74861,SONAR-11056,74888
117,74861,SONAR-11074,75074
118,74861,SONAR-11075,75075
119,74859,SONAR-11055,74887
120,74859,SONAR-11057,74901
121,74858,SONAR-11054,74882
122,74858,SONAR-11060,74911
123,74858,SONAR-11061,74913
124,74385,SONAR-10993,74393
125,74385,SONAR-10998,74434
126,74312,SONAR-10981,74313
127,74312,SONAR-10982,74314
128,74312,SONAR-10984,74316
129,74312,SONAR-10985,74317
130,74312,SONAR-10989,74353
131,74310,SONAR-10988,74337
132,73474,SONAR-10897,73756
133,72742,SONAR-10718,72913
134,71831,SONAR-10626,71847
135,71831,SONAR-10645,71915
136,71828,SONAR-10615,71829
137,71828,SONAR-10617,71834
138,71828,SONAR-10618,71835
139,71828,SONAR-10620,71839
140,71828,SONAR-10624,71844
141,69428,SONAR-10425,69441
142,69428,SONAR-10426,69443
143,69428,SONAR-10436,69547
144,69428,SONAR-10448,69838
145,69428,SONAR-10449,69841
146,68684,SONAR-10320,68685
147,68625,SONAR-10303,68604
148,68625,SONAR-10305,68610
149,68625,SONAR-10306,68612
150,68625,SONAR-10312,68624
151,68618,SONAR-10309,68616
152,68180,SONAR-10278,68291
153,68180,SONAR-10279,68292
154,66883,SONAR-10104,66937
155,66883,SONAR-10105,66938
156,65831,SONAR-9985,65718
157,65831,SONAR-10004,65833
158,65831,SONAR-10005,65834
159,65831,SONAR-10009,65853
160,65821,SONAR-9997,65822
161,65821,SONAR-9998,65823
162,65821,SONAR-9999,65825
163,65821,SONAR-10001,65828
164,65604,SONAR-9990,65756
165,65592,SONAR-9960,65626
166,65589,SONAR-9988,65750
167,65583,SONAR-9944,65596
168,64720,SONAR-9804,64723
169,64720,SONAR-9805,64724
170,64720,SONAR-9806,64726
171,64720,SONAR-9807,64727
172,64415,SONAR-9760,64412
173,64415,SONAR-9761,64413
174,64415,SONAR-9797,64651
175,63744,SONAR-9662,63745
176,63744,SONAR-9663,63746
177,63744,SONAR-9664,63748
178,63744,SONAR-9672,63790
179,63744,SONAR-9679,63825
180,63429,SONAR-9609,63432
181,63429,SONAR-9611,63434
182,63429,SONAR-9613,63436
183,63429,SONAR-9615,63438
184,63429,SONAR-9634,63585
185,63429,SONAR-9635,63586
186,63429,SONAR-9636,63587
187,63429,SONAR-9637,63588
188,63277,SONAR-9576,63280
189,63277,SONAR-9577,63289
190,63277,SONAR-9586,63341
191,63277,SONAR-9600,63398
192,63277,SONAR-9601,63401
193,63277,SONAR-9602,63402
194,63277,SONAR-9607,63428
195,63277,SONAR-9619,63501
196,63277,SONAR-9620,63502
197,63277,SONAR-9621,63503
198,63234,SONAR-9569,63259
199,63234,SONAR-9570,63260
200,63234,SONAR-9571,63261
201,62933,SONAR-9547,62981
202,62933,SONAR-9548,62982
203,62933,SONAR-9549,62983
204,62456,SONAR-9492,62489
205,62456,SONAR-9493,62490
206,62454,SONAR-9491,62488
207,61946,SONAR-9413,61901
208,61946,SONAR-9415,61903
209,61891,SONAR-9501,62575
210,61891,SONAR-9502,62576
211,61891,SONAR-9503,62577
212,61890,SONAR-9411,61899
213,61890,SONAR-9420,61950
214,61889,SONAR-9406,61894
215,61889,SONAR-9407,61895
216,61889,SONAR-9408,61896
217,61889,SONAR-9409,61897
218,61889,SONAR-9419,61948
219,61889,SONAR-9438,62099
220,61672,SONAR-9365,61685
221,61672,SONAR-9370,61697
222,61672,SONAR-9371,61698
223,61672,SONAR-9372,61701
224,61672,SONAR-9382,61765
225,61672,SONAR-9424,61977
226,61671,SONAR-9360,61678
227,61671,SONAR-9361,61679
228,61671,SONAR-9362,61680
229,61671,SONAR-9363,61681
230,61671,SONAR-9364,61682
231,61304,SONAR-9269,61123
232,61304,SONAR-9271,61125
233,61304,SONAR-9272,61127
234,61304,SONAR-9273,61129
235,61304,SONAR-9275,61132
236,61304,SONAR-9277,61134
237,61304,SONAR-9278,61135
238,61304,SONAR-9308,61297
239,61068,SONAR-9255,61056
240,61068,SONAR-9261,61069
241,61068,SONAR-9290,61199
242,61027,SONAR-9246,61028
243,61027,SONAR-9247,61029
244,61027,SONAR-9248,61030
245,61027,SONAR-9249,61031
246,61027,SONAR-9250,61032
247,61027,SONAR-9257,61058
248,61027,SONAR-9258,61059
249,61027,SONAR-9288,61196
250,61027,SONAR-9309,61298
251,60872,SONAR-9321,61379
252,60872,SONAR-9324,61403
253,59866,SONAR-9102,59890
254,59866,SONAR-9103,59891
255,59866,SONAR-9104,59892
256,59866,SONAR-9108,59896
257,59866,SONAR-9109,59898
258,59866,SONAR-9136,60086
259,59866,SONAR-9140,60106
260,59866,SONAR-9159,60377
261,59866,SONAR-9192,60709
262,59860,SONAR-9090,59867
263,59455,SONAR-9040,59456
264,59455,SONAR-9041,59457
265,59376,SONAR-9326,61405
266,59376,SONAR-9327,61406
267,59376,SONAR-9328,61408
268,59376,SONAR-9334,61477
269,59376,SONAR-9346,61572
270,59376,SONAR-9350,61599
271,59274,SONAR-8866,58246
272,59170,SONAR-8985,59159
273,59170,SONAR-8986,59163
274,59170,SONAR-8987,59164
275,59170,SONAR-8988,59165
276,58615,SONAR-8790,57600
277,58245,SONAR-8867,58247
278,58245,SONAR-8924,58693
279,58245,SONAR-8949,58845
280,58245,SONAR-8950,58846
281,58245,SONAR-8951,58847
