,issue_id,version_name,version_id
0,97777,8.4.2,16404
1,97773,8.4.2,16404
2,97525,8.4.2,16404
3,97521,8.4,15833
4,97347,8.4.2,16404
5,96944,7.9.4,15832
6,96944,8.4.1,16358
7,96934,8.4.1,16358
8,96887,8.4.1,16358
9,96862,8.4.1,16358
10,96774,8.4.1,16358
11,96772,8.4.1,16358
12,96767,8.4.1,16358
13,96742,8.4.1,16358
14,96741,8.4.1,16358
15,96716,8.4.1,16358
16,96709,7.9,14945
17,96647,8.4,15833
18,96646,8.4,15833
19,96608,8.4,15833
20,96440,8.4.1,16358
21,96410,8.3.1,15930
22,96398,8.4,15833
23,96061,8.4.1,16358
24,95887,8.4,15833
25,95800,8.4,15833
26,95777,8.3,15640
27,95773,8.4,15833
28,95772,8.4,15833
29,95717,7.9,14945
30,95717,7.9.1,15029
31,95717,7.9.2,15039
32,95717,7.9.3,15329
33,95717,8.0,14962
34,95717,8.1,15243
35,95562,8.4,15833
36,95560,8.3.1,15930
37,94882,7.7,14848
38,94773,8.3.1,15930
39,94643,8.1,15243
40,94267,7.9.3,15329
41,94267,8.3,15640
42,94237,8.3,15640
43,94188,8.3,15640
44,94173,8.3,15640
45,94087,8.4,15833
46,94060,8.3,15640
47,93829,8.2,15301
48,93650,8.2,15301
49,93649,8.2,15301
50,93606,8.2,15301
51,93404,8.2,15301
52,93320,8.2,15301
53,93318,8.2,15301
54,93282,8.3,15640
55,93207,8.2,15301
56,93028,7.7,14848
57,93028,7.8,14939
58,93028,7.9,14945
59,93028,8.0,14962
60,93028,8.1,15243
61,93028,8.2,15301
62,92962,8.2,15301
63,92745,8.2,15301
64,92726,7.8,14939
65,92680,8.1,15243
66,92491,7.9,14945
67,92491,8.1,15243
68,92491,8.2,15301
69,92445,7.8,14939
70,92428,7.9,14945
71,92358,8.1,15243
72,92178,8.1,15243
73,92162,8.1,15243
74,92063,7.7,14848
75,91909,8.1,15243
76,91834,7.9,14945
77,91526,8.1,15243
78,91341,8.1,15243
79,91330,7.9,14945
80,91330,8.1,15243
81,90898,7.4,14549
82,90872,7.9,14945
83,90872,8.0,14962
84,90612,7.9,14945
85,90612,8.0,14962
86,90568,7.9.1,15029
87,90568,8.0,14962
88,90434,7.9.1,15029
89,90321,7.8,14939
90,90321,7.9,14945
91,90321,7.9.1,15029
92,90321,8.0,14962
93,90155,7.9,14945
94,90155,8.4,15833
95,90108,8.1,15243
96,89819,8.0,14962
97,89671,8.0,14962
98,89596,8.0,14962
99,89571,8.0,14962
100,89435,7.9.1,15029
101,89428,8.0,14962
102,89425,8.0,14962
103,89375,8.0,14962
104,89293,7.9.1,15029
105,89140,7.8,14939
106,89140,7.9,14945
107,89136,7.9.1,15029
108,89125,7.9.1,15029
109,89082,7.9,14945
110,89065,8.0,14962
111,89055,7.9.1,15029
112,88912,7.9.1,15029
113,88792,7.9.1,15029
114,88642,7.9.1,15029
115,88615,7.9,14945
116,88525,7.9,14945
117,88282,7.9,14945
118,88239,7.9,14945
119,88136,7.9.1,15029
120,88021,7.9,14945
121,88021,7.9.1,15029
122,88019,7.9.1,15029
123,88013,6.7.7,14865
124,88013,7.9.1,15029
125,87914,7.9.1,15029
126,87912,7.9.1,15029
127,87839,7.9.1,15029
128,87610,7.9,14945
129,87605,7.9.1,15029
130,87342,7.9.1,15029
131,87284,7.9,14945
132,87281,7.9.1,15029
133,87199,7.9.1,15029
134,87003,7.9.1,15029
135,86937,6.0,13026
136,86937,6.1,13287
137,86937,6.2,13327
138,86937,6.3,13470
139,86937,6.4,13697
140,86937,6.5,13805
141,86937,6.6,13961
142,86937,6.7.7,14865
143,86937,7.0,14041
144,86937,7.1,14178
145,86937,7.2,14213
146,86937,7.3,14464
147,86937,7.4,14549
148,86937,7.5,14693
149,86937,7.6,14753
150,86937,7.7,14848
151,86937,7.8,14939
152,86937,7.9.1,15029
153,86889,7.9,14945
154,86889,7.9.1,15029
155,86790,7.9.1,15029
156,86735,7.7,14848
157,86732,7.9.1,15029
158,86717,7.9.1,15029
159,86652,7.9.1,15029
160,86651,7.9.1,15029
161,86618,7.9.1,15029
162,86579,8.0,14962
163,86578,8.0,14962
164,86497,7.9.1,15029
165,86491,7.0,14041
166,86491,7.1,14178
167,86491,7.2,14213
168,86491,7.3,14464
169,86491,7.4,14549
170,86491,7.5,14693
171,86491,7.6,14753
172,86491,7.7,14848
173,86491,7.8,14939
174,86491,7.9.1,15029
175,86478,7.9,14945
176,86163,7.9,14945
177,86135,7.9,14945
178,86092,7.9,14945
179,86091,7.9,14945
180,85969,7.9,14945
