,from_tag,to_tag,job_id
0,5.1.2,5.2,64092090
1,5.1.2,5.2,64092619
2,5.1.2,5.2,64095411
3,5.1.2,5.2,64097050
4,5.1.2,5.2,64098578
5,5.1.2,5.2,64099115
6,5.1.2,5.2,64099620
7,5.1.2,5.2,64100436
8,5.1.2,5.2,64102912
9,5.1.2,5.2,64109810
10,5.1.2,5.2,64211560
11,5.1.2,5.2,64212607
12,5.1.2,5.2,64227752
13,5.1.2,5.2,64228645
14,5.1.2,5.2,64230792
15,5.1.2,5.2,64231250
16,5.1.2,5.2,64234453
17,5.1.2,5.2,64241292
18,5.1.2,5.2,64241525
19,5.1.2,5.2,64259256
20,5.1.2,5.2,64260705
21,5.1.2,5.2,64285136
22,5.1.2,5.2,64373260
23,5.1.2,5.2,64373923
24,5.1.2,5.2,64374254
25,5.1.2,5.2,64375878
26,5.1.2,5.2,64378823
27,5.1.2,5.2,64381688
28,5.1.2,5.2,64383622
29,5.1.2,5.2,64384486
30,5.1.2,5.2,83687761
31,5.1.2,5.2,83687763
32,5.1.2,5.2,83687766
33,5.1.2,5.2,83687772
34,5.1.2,5.2,83687777
35,5.1.2,5.2,83687778
36,5.1.2,5.2,83687779
37,5.1.2,5.2,83687782
38,5.1.2,5.2,83687783
39,5.1.2,5.2,83688666
40,5.1.2,5.2,83688667
41,5.1.2,5.2,83688668
42,5.1.2,5.2,83688669
43,5.1.2,5.2,83688670
44,5.1.2,5.2,83688671
45,5.1.2,5.2,83688673
46,5.1.2,5.2,83688674
47,5.1.2,5.2,83688675
48,5.1.2,5.2,83692751
49,5.1.2,5.2,83692752
50,5.1.2,5.2,83692753
51,5.1.2,5.2,83692754
52,5.1.2,5.2,83692755
53,5.1.2,5.2,83692756
54,5.1.2,5.2,83692758
55,5.1.2,5.2,83692759
56,5.1.2,5.2,83692760
57,5.1.2,5.2,83693570
58,5.1.2,5.2,83693571
59,5.1.2,5.2,83693572
60,5.1.2,5.2,83693573
61,5.1.2,5.2,83693574
62,5.1.2,5.2,83693575
63,5.1.2,5.2,83693576
64,5.1.2,5.2,83693577
65,5.1.2,5.2,83693578
66,5.1.2,5.2,83694823
67,5.1.2,5.2,83694824
68,5.1.2,5.2,83694825
69,5.1.2,5.2,83694826
70,5.1.2,5.2,83694827
71,5.1.2,5.2,83694828
72,5.1.2,5.2,83694829
73,5.1.2,5.2,83694831
74,5.1.2,5.2,83694832
75,5.1.2,5.2,83702585
76,5.1.2,5.2,83702586
77,5.1.2,5.2,83702587
78,5.1.2,5.2,83702589
79,5.1.2,5.2,83702590
80,5.1.2,5.2,83702591
81,5.1.2,5.2,83702592
82,5.1.2,5.2,83702594
83,5.1.2,5.2,83702595
84,5.1.2,5.2,83707722
85,5.1.2,5.2,83707724
86,5.1.2,5.2,83707725
87,5.1.2,5.2,83707726
88,5.1.2,5.2,83707727
89,5.1.2,5.2,83707728
90,5.1.2,5.2,83707729
91,5.1.2,5.2,83707731
92,5.1.2,5.2,83707732
93,5.1.2,5.2,83727982
94,5.1.2,5.2,83727984
95,5.1.2,5.2,83727986
96,5.1.2,5.2,83727987
97,5.1.2,5.2,83727990
98,5.1.2,5.2,83727992
99,5.1.2,5.2,83727994
100,5.1.2,5.2,83727996
101,5.1.2,5.2,83727998
102,5.1.2,5.2,83728033
103,5.1.2,5.2,83728034
104,5.1.2,5.2,83728035
105,5.1.2,5.2,83728036
106,5.1.2,5.2,83728037
107,5.1.2,5.2,83728038
108,5.1.2,5.2,83728039
109,5.1.2,5.2,83728040
110,5.1.2,5.2,83728041
111,5.1.2,5.2,83760342
112,5.1.2,5.2,83760343
113,5.1.2,5.2,83760344
114,5.1.2,5.2,83760345
115,5.1.2,5.2,83760346
116,5.1.2,5.2,83760347
117,5.1.2,5.2,83760348
118,5.1.2,5.2,83760349
119,5.1.2,5.2,83760350
120,5.1.2,5.2,83761989
121,5.1.2,5.2,83761990
122,5.1.2,5.2,83761991
123,5.1.2,5.2,83761992
124,5.1.2,5.2,83761993
125,5.1.2,5.2,83761994
126,5.1.2,5.2,83761995
127,5.1.2,5.2,83761996
128,5.1.2,5.2,83761997
129,5.1.2,5.2,83763624
130,5.1.2,5.2,83763625
131,5.1.2,5.2,83763627
132,5.1.2,5.2,83763628
133,5.1.2,5.2,83763629
134,5.1.2,5.2,83763631
135,5.1.2,5.2,83763632
136,5.1.2,5.2,83763633
137,5.1.2,5.2,83763634
138,5.1.2,5.2,83772593
139,5.1.2,5.2,83772594
140,5.1.2,5.2,83772596
141,5.1.2,5.2,83772597
142,5.1.2,5.2,83772598
143,5.1.2,5.2,83772599
144,5.1.2,5.2,83772600
145,5.1.2,5.2,83772601
146,5.1.2,5.2,83772602
147,5.1.2,5.2,83772654
148,5.1.2,5.2,83772656
149,5.1.2,5.2,83772657
150,5.1.2,5.2,83772658
151,5.1.2,5.2,83772659
152,5.1.2,5.2,83772660
153,5.1.2,5.2,83772661
154,5.1.2,5.2,83772662
155,5.1.2,5.2,83772663
156,5.1.2,5.2,83830535
157,5.1.2,5.2,83830536
158,5.1.2,5.2,83830537
159,5.1.2,5.2,83830538
160,5.1.2,5.2,83830539
161,5.1.2,5.2,83830540
162,5.1.2,5.2,83830541
163,5.1.2,5.2,83830542
164,5.1.2,5.2,83830543
165,5.1.2,5.2,83830662
166,5.1.2,5.2,83830663
167,5.1.2,5.2,83830664
168,5.1.2,5.2,83830665
169,5.1.2,5.2,83830666
170,5.1.2,5.2,83830667
171,5.1.2,5.2,83830668
172,5.1.2,5.2,83830669
173,5.1.2,5.2,83830670
174,5.1.2,5.2,83830680
175,5.1.2,5.2,83830681
176,5.1.2,5.2,83830682
177,5.1.2,5.2,83830683
178,5.1.2,5.2,83830684
179,5.1.2,5.2,83830686
180,5.1.2,5.2,83830687
181,5.1.2,5.2,83830688
182,5.1.2,5.2,83830689
183,5.1.2,5.2,83832238
184,5.1.2,5.2,83832239
185,5.1.2,5.2,83832240
186,5.1.2,5.2,83832241
187,5.1.2,5.2,83832242
188,5.1.2,5.2,83832243
