,from_tag,to_tag,job_id
0,5.1.2,5.2,75257993
1,5.1.2,5.2,75257994
2,5.1.2,5.2,75257995
3,5.1.2,5.2,75257996
4,5.1.2,5.2,75257997
5,5.1.2,5.2,75257998
6,5.1.2,5.2,75257999
7,5.1.2,5.2,75258000
8,5.1.2,5.2,75258001
9,5.1.2,5.2,75258002
10,5.1.2,5.2,75258003
11,5.1.2,5.2,75258148
12,5.1.2,5.2,75258150
13,5.1.2,5.2,75258151
14,5.1.2,5.2,75258152
15,5.1.2,5.2,75258153
16,5.1.2,5.2,75258155
17,5.1.2,5.2,75258156
18,5.1.2,5.2,75258157
19,5.1.2,5.2,75258159
20,5.1.2,5.2,75258160
21,5.1.2,5.2,75258161
22,5.1.2,5.2,75272373
23,5.1.2,5.2,75272374
24,5.1.2,5.2,75272375
25,5.1.2,5.2,75272376
26,5.1.2,5.2,75272377
27,5.1.2,5.2,75272378
28,5.1.2,5.2,75272379
29,5.1.2,5.2,75272380
30,5.1.2,5.2,75272381
31,5.1.2,5.2,75272382
32,5.1.2,5.2,75272383
33,5.1.2,5.2,75281835
34,5.1.2,5.2,75281837
35,5.1.2,5.2,75281839
36,5.1.2,5.2,75281840
37,5.1.2,5.2,75281841
38,5.1.2,5.2,75281842
39,5.1.2,5.2,75281843
40,5.1.2,5.2,75281844
41,5.1.2,5.2,75281845
42,5.1.2,5.2,75281846
43,5.1.2,5.2,75281847
44,5.1.2,5.2,79254510
45,5.1.2,5.2,79254511
46,5.1.2,5.2,79254512
47,5.1.2,5.2,79254513
48,5.1.2,5.2,79254514
49,5.1.2,5.2,79254515
50,5.1.2,5.2,79254516
51,5.1.2,5.2,79254517
52,5.1.2,5.2,79254518
53,5.1.2,5.2,79316564
54,5.1.2,5.2,79316565
55,5.1.2,5.2,79316566
56,5.1.2,5.2,79316567
57,5.1.2,5.2,79316568
58,5.1.2,5.2,79316569
59,5.1.2,5.2,79316570
60,5.1.2,5.2,79316571
61,5.1.2,5.2,79316572
62,5.1.2,5.2,74211464
63,5.1.2,5.2,74211465
64,5.1.2,5.2,74211466
65,5.1.2,5.2,74211467
66,5.1.2,5.2,74211468
67,5.1.2,5.2,74211469
68,5.1.2,5.2,74211470
69,5.1.2,5.2,74211471
70,5.1.2,5.2,74211472
71,5.1.2,5.2,74211473
72,5.1.2,5.2,74211474
73,5.1.2,5.2,74212787
74,5.1.2,5.2,74212788
75,5.1.2,5.2,74212789
76,5.1.2,5.2,74212790
77,5.1.2,5.2,74212791
78,5.1.2,5.2,74212792
79,5.1.2,5.2,74212793
80,5.1.2,5.2,74212794
81,5.1.2,5.2,74212795
82,5.1.2,5.2,74212796
