,from_tag,to_tag,job_id
0,5.1.2,5.2,74558396
1,5.1.2,5.2,74558397
2,5.1.2,5.2,74558398
3,5.1.2,5.2,74558399
4,5.1.2,5.2,74558400
5,5.1.2,5.2,74558401
6,5.1.2,5.2,74558402
7,5.1.2,5.2,74558403
8,5.1.2,5.2,74558404
9,5.1.2,5.2,74558405
10,5.1.2,5.2,74558406
11,5.1.2,5.2,74869004
12,5.1.2,5.2,74869005
13,5.1.2,5.2,74869006
14,5.1.2,5.2,74869007
15,5.1.2,5.2,74869008
16,5.1.2,5.2,74869009
17,5.1.2,5.2,74869010
18,5.1.2,5.2,74869011
19,5.1.2,5.2,74869012
20,5.1.2,5.2,74869013
21,5.1.2,5.2,74869014
22,5.1.2,5.2,74878633
23,5.1.2,5.2,74878634
24,5.1.2,5.2,74878635
25,5.1.2,5.2,74878636
26,5.1.2,5.2,74878637
27,5.1.2,5.2,74878638
28,5.1.2,5.2,74878639
29,5.1.2,5.2,74878640
30,5.1.2,5.2,74878641
31,5.1.2,5.2,74878642
32,5.1.2,5.2,74878643
33,5.1.2,5.2,74885985
34,5.1.2,5.2,74885986
35,5.1.2,5.2,74885987
36,5.1.2,5.2,74885988
37,5.1.2,5.2,74885989
38,5.1.2,5.2,74885990
39,5.1.2,5.2,74885991
40,5.1.2,5.2,74885992
41,5.1.2,5.2,74885993
42,5.1.2,5.2,74885994
43,5.1.2,5.2,74885995
44,5.1.2,5.2,74921355
45,5.1.2,5.2,74921356
46,5.1.2,5.2,74921357
47,5.1.2,5.2,74921358
48,5.1.2,5.2,74921359
49,5.1.2,5.2,74921360
50,5.1.2,5.2,74921361
51,5.1.2,5.2,74921362
52,5.1.2,5.2,74921363
53,5.1.2,5.2,74921364
54,5.1.2,5.2,74921365
55,5.1.2,5.2,74938957
56,5.1.2,5.2,74938958
57,5.1.2,5.2,74938960
58,5.1.2,5.2,74938961
59,5.1.2,5.2,74938962
60,5.1.2,5.2,74938963
61,5.1.2,5.2,74938964
62,5.1.2,5.2,74938965
63,5.1.2,5.2,74938967
64,5.1.2,5.2,74938968
65,5.1.2,5.2,74938969
66,5.1.2,5.2,75084035
67,5.1.2,5.2,75084036
68,5.1.2,5.2,75084037
69,5.1.2,5.2,75084038
70,5.1.2,5.2,75084039
71,5.1.2,5.2,75084040
72,5.1.2,5.2,75084041
73,5.1.2,5.2,75084042
74,5.1.2,5.2,75084043
75,5.1.2,5.2,75084044
76,5.1.2,5.2,75084045
77,5.1.2,5.2,75092052
78,5.1.2,5.2,75092053
79,5.1.2,5.2,75092054
80,5.1.2,5.2,75092055
81,5.1.2,5.2,75092056
82,5.1.2,5.2,75092057
83,5.1.2,5.2,75092058
84,5.1.2,5.2,75092059
85,5.1.2,5.2,75092060
86,5.1.2,5.2,75092061
87,5.1.2,5.2,75092062
88,5.1.2,5.2,75217734
89,5.1.2,5.2,75217735
90,5.1.2,5.2,75217736
91,5.1.2,5.2,75217737
92,5.1.2,5.2,75217738
93,5.1.2,5.2,75217739
94,5.1.2,5.2,75217740
95,5.1.2,5.2,75217741
96,5.1.2,5.2,75217742
97,5.1.2,5.2,75217743
98,5.1.2,5.2,75217744
99,5.1.2,5.2,75226210
100,5.1.2,5.2,75226211
101,5.1.2,5.2,75226212
102,5.1.2,5.2,75226213
103,5.1.2,5.2,75226214
104,5.1.2,5.2,75226215
