,Tag,Sha,Date,Tag_number
0,latest-silver-master-#65,639ab0ae52d143cf8b8b82c009c95e69ed2d40d7,2015-01-30 10:12:28,latest-silver-master-#65
1,8.4.2.36762,2de1f343e3dbd9e88007b42e475512677c04eb8a,2020-08-27 14:11:31,8.4.2.36762
2,8.4.1.35646,a0d372f704998d38856c26e28662fd7de062f873,2020-07-14 08:13:18,8.4.1.35646
3,8.4.0.35506,74b4533439f380827d68e8c01667eeaecad89fc7,2020-07-03 07:09:27,8.4.0.35506
4,8.3.1.34397,b77ce511a2039330aea8832ad12e86a8cfa9ff7d,2020-05-07 12:09:22,8.3.1.34397
5,8.3.0.34182,9c58e36328ae79ad3c36c13aa253879351ce3613,2020-04-28 13:54:13,8.3.0.34182
6,8.2.0.32929,749367809478e5b7f60c6ef952436db9789b5882,2020-02-25 14:32:24,8.2.0.32929
7,8.1.0.31237,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,2019-12-17 12:29:34,8.1.0.31237
8,8.0,87ca68d63f4afd37d74b2f454430dfde9e862c6a,2019-10-15 08:15:12,8.0
9,7.9.4,2f8d99a55899105cbf3e3170194c614c2a6ea4d7,2020-07-23 14:40:10,7.9.4
10,7.9.3,898a79cc7df01a9603c17f92b93e46ec62bc77d2,2020-03-24 07:49:27,7.9.3
11,7.9.2,5832fefc31f5ba25f15b3fa66ed816f7b87fd835,2019-12-09 13:03:50,7.9.2
12,7.9.1,6818fad17ba67e97d395a8488d5412e00892d5e1,2019-07-10 12:20:33,7.9.1
13,7.9,6502ec4ffee7e5a57498baaf330b80eb490d01c2,2019-07-01 07:56:26,7.9
14,7.8,870ae4efbf5dcdbe59295eb5827b55a6a74c7b89,2019-06-18 09:08:04,7.8
15,7.7,69bc562d207053ef21afd12c8bc9c5217b50227a,2019-03-19 16:29:12,7.7
16,7.6,c2edd480f08c8a692757df5ce6c89cddb566b666,2019-01-21 15:04:13,7.6
17,7.5,cb851ba202973bd468e070572c1e3b0b0437d2f4,2018-12-18 09:56:40,7.5
18,7.0,3b827a9a9a4b133c9fbe168aec8db44d78efeaeb,2018-02-02 12:20:31,7.0
19,7.0-RC1,b19047de0e815b1c6474770e8bc0fff41daa4d01,2018-01-24 14:36:36,7.0
20,6.7.7,4aa6d928f960303eb990d50c275513a517c85e69,2019-04-16 15:38:04,6.7.7
21,6.7.6,302f75de1ec5df6e983970f3c76b86ee02b1cd26,2018-11-19 15:51:14,6.7.6
22,6.7.5,ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1,2018-08-06 10:17:09,6.7.5
23,6.7.4,b62b59da1adf991c41ed0730684f813d4116f6cc,2018-05-30 07:23:04,6.7.4
24,6.7.3,baa823c2ae6ed4dd406b2ef12bc5ac6201e466f9,2018-04-06 14:12:21,6.7.3
25,6.7.2,e3ae3ad6546d35ab9eb7c244352a58eea0a2f124,2018-02-22 16:56:57,6.7.2
26,6.7.1,426519346f51f7b980a76f9050f983110550509d,2017-12-20 16:32:02,6.7.1
27,6.7,5d031d9d2ac3f69b4b9bc600d50563b1886c7d8b,2017-11-07 15:03:37,6.7
28,6.7-RC1,3f72c27bf24dcecfad0e0901797e6d166532de72,2017-10-27 14:27:52,6.7
29,6.6,353296630a2d150f48c76183e82188dfcaa42df0,2017-10-20 12:09:25,6.6
30,6.6-RC1,868e9ce285262e5277c158ea3c2082c379e81943,2017-10-10 17:03:23,6.6
31,6.5,ef2ca5b33e5795b841d45e0b20fef3cb90391719,2017-08-01 11:58:54,6.5
32,6.5-RC2,fa58d92ea7145838c8030fc4611a4bdefe94b5de,2017-07-24 15:42:40,6.5
33,6.5-RC1,3861f8769afa40e556c63ff7f39a41f9f89f68fa,2017-07-13 17:11:40,6.5
34,6.5-M4,4815ccb899b0cff352dd979024afd46db878b692,2017-07-24 16:45:48,6.5
35,6.5-M3,ca28dd4ed34ab7c6e6066dd44820fe815c21b7a8,2017-07-13 17:56:59,6.5
36,6.5-M2,bcc8082815b493171a30ae32dfef9d9c278804a4,2017-07-05 17:09:06,6.5
37,6.5-M1,25592161f1698d5be10311cab517cd4824445945,2017-06-20 15:42:21,6.5
38,6.4,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,2017-06-02 08:32:25,6.4
39,6.4-RC3,1f978d91e82d8ddbe49806ee6d32bc93e8f6a42f,2017-05-29 09:55:18,6.4
40,6.4-RC2,8e826b1066ffea29958f8c5ac09244baa624dafd,2017-05-22 10:00:44,6.4
41,6.4-RC1,04b7bf3ccc22daea116a67e6ba174237805e5ccf,2017-05-16 15:00:32,6.4
42,6.3.2,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,2017-04-24 08:51:14,6.3.2
