,from_tag,from_author_date,ahead_by,behind_by,from_sha,to_sha,to_tag,to_author_date,ahead_behind_sum,diff_author_dates,diff_author_days,from_commit_date,to_commit_date,diff_commit_dates,diff_commit_days,n_jobs,n_builds,n_merge_jobs,n_pull_request_jobs,Tag,jira_version,version_name,post_release_bugs,pre_release_bugs,pre_release_after_tagging_bugs,dde,critical_post_release_bugs,minor_post_release_bugs,fix_time
0,4.5.2,2015-01-07 08:52:38,21,0,28ee49d18fd328e46de45736ac350eabb043c90d,87f5816d42fc0e0deffdd86b564910aa51cf266e,4.5.3,2015-02-24 10:14:23,21,48 days 01:21:45,48.05677083333333,2015-01-07 09:52:38,2015-02-24 11:14:23,48 days 01:21:45,48.05677083333333,0,0,0,0,,,,,,,,,,
1,4.5.3,2015-02-24 10:14:23,3,0,87f5816d42fc0e0deffdd86b564910aa51cf266e,eccfe672f5e585c39cc6a0b79122ad516fd61f3e,4.5.4,2015-02-26 10:10:48,3,1 days 23:56:25,1.997511574074074,2015-02-24 11:14:23,2015-02-26 11:10:48,1 days 23:56:25,1.997511574074074,0,0,0,0,,,,,,,,,,
2,4.5.4,2015-02-26 10:10:48,13,0,eccfe672f5e585c39cc6a0b79122ad516fd61f3e,cc8a9472c671598fb3158b51b15863448a477a50,4.5.5,2015-07-30 10:02:58,13,153 days 23:52:10,153.99456018518518,2015-02-26 11:10:48,2015-07-30 12:02:58,154 days 00:52:10,154.0362268518519,0,0,0,0,,,,,,,,,,
3,4.5.5,2015-07-30 10:02:58,16,0,cc8a9472c671598fb3158b51b15863448a477a50,12d931e5a31e1692a428bbb34ba11cd63aebf998,4.5.6,2015-10-16 09:31:18,16,77 days 23:28:20,77.97800925925925,2015-07-30 12:02:58,2015-10-16 11:31:18,77 days 23:28:20,77.97800925925925,0,0,0,0,,,,,,,,,,
4,4.5.6,2015-10-16 09:31:18,7,0,12d931e5a31e1692a428bbb34ba11cd63aebf998,e2afb0bff1b8be759789d2c1bc9348de6f519f83,4.5.7,2016-04-08 13:44:39,7,175 days 04:13:21,175.1759375,2015-10-16 11:31:18,2016-04-08 15:44:39,175 days 04:13:21,175.1759375,0,0,0,0,4.5.7,4.5.7,4.5.7,1.0,0.0,0.0,0.0,0.0,0.0,-434.28603009259257
5,5.0,2015-01-14 17:38:53,13,1,dc62506bf3b331ec19c053e225e415d164ee60b0,2c86ad5a003cfe6db1287a25c35acfa0561300c9,5.0.1,2015-02-24 09:08:46,14,40 days 15:29:53,40.645752314814814,2015-01-14 18:38:53,2015-02-24 10:08:46,40 days 15:29:53,40.645752314814814,0,0,0,0,,,,,,,,,,
6,5.0-RC4,2015-01-08 10:01:14,8,0,a5e6876d8fdccf5b8424c08abf8c95120b7d0199,dc62506bf3b331ec19c053e225e415d164ee60b0,5.0,2015-01-14 17:38:53,8,6 days 07:37:39,6.3178125,2015-01-08 11:01:14,2015-01-14 18:38:53,6 days 07:37:39,6.3178125,0,0,0,0,,,,,,,,,,
7,5.0.1,2015-02-24 09:08:46,1110,0,2c86ad5a003cfe6db1287a25c35acfa0561300c9,322f2186573034b92a65867b910570d344929af9,5.1-RC1,2015-03-06 07:57:46,1110,9 days 22:49:00,9.950694444444443,2015-02-24 10:08:46,2015-03-06 08:57:46,9 days 22:49:00,9.950694444444443,0,0,0,0,,,,,,,,,,
8,5.1,2015-04-02 08:09:45,7,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,5.1.1,2015-06-02 08:34:06,7,61 days 00:24:21,61.01690972222222,2015-04-02 10:09:45,2015-06-02 10:34:06,61 days 00:24:21,61.01690972222222,0,0,0,0,5.1.1,5.1.1,5.1.1,7.0,0.0,0.0,0.0,0.0,0.0,-64.86754794973544
9,5.1-RC1,2015-03-06 07:57:46,34,0,322f2186573034b92a65867b910570d344929af9,dfc9f94b72103ee941cc11da6529623fa91df509,5.1-RC2,2015-03-23 15:22:47,34,17 days 07:25:01,17.30903935185185,2015-03-06 08:57:46,2015-03-23 16:22:47,17 days 07:25:01,17.30903935185185,0,0,0,0,,,,,,,,,,
10,5.1-RC2,2015-03-23 15:22:47,17,0,dfc9f94b72103ee941cc11da6529623fa91df509,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,5.1,2015-04-02 08:09:45,17,9 days 16:46:58,9.699282407407408,2015-03-23 16:22:47,2015-04-02 10:09:45,9 days 17:46:58,9.740949074074074,0,0,0,313,5.1,5.1,5.1,30.0,2.0,5.0,0.0625,0.0,2.0,-101.06594405864195
11,5.1.1,2015-06-02 08:34:06,12,0,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,5.1.2,2015-07-27 08:03:21,12,54 days 23:29:15,54.97864583333333,2015-06-02 10:34:06,2015-07-27 10:03:21,54 days 23:29:15,54.97864583333333,0,0,0,7,5.1.2,5.1.2,5.1.2,11.0,0.0,0.0,0.0,0.0,2.0,-178.38339120370372
12,5.1.2,2015-07-27 08:03:21,2762,0,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,d5dd7720eb79dc0cae1a1b38f83e757a031f8ca9,5.2-RC1,2015-10-12 15:58:42,2762,77 days 07:55:21,77.33010416666667,2015-07-27 10:03:21,2015-10-12 17:58:42,77 days 07:55:21,77.33010416666667,10159,1945,23,14913,,,,,,,,,,
13,5.2,2015-11-02 08:56:19,513,0,f045be98be3ba032b6b19d71574038eeeb91803b,c979578645aaf77c447b250136db32a7067619a1,5.3-RC1,2015-12-09 12:47:34,513,37 days 03:51:15,37.16059027777778,2015-11-02 09:56:19,2015-12-09 13:47:34,37 days 03:51:15,37.16059027777778,4456,467,0,2228,,,,,,,,,,
14,5.2-RC1,2015-10-12 15:58:42,4,0,d5dd7720eb79dc0cae1a1b38f83e757a031f8ca9,3d2b3bbd084ccf75d1921382315d3ac3037ed3bc,5.2-RC2,2015-10-13 10:06:23,4,0 days 18:07:41,0.7553356481481481,2015-10-12 17:58:42,2015-10-13 12:06:23,0 days 18:07:41,0.7553356481481481,27,3,0,0,,,,,,,,,,
15,5.2-RC2,2015-10-13 10:06:23,56,0,3d2b3bbd084ccf75d1921382315d3ac3037ed3bc,ef358b002383f918448dcb5e8ac40b64a35a4c26,5.2-RC3,2015-10-20 13:47:33,56,7 days 03:41:10,7.153587962962963,2015-10-13 12:06:23,2015-10-20 15:47:33,7 days 03:41:10,7.153587962962963,432,48,0,126,,,,,,,,,,
16,5.2-RC3,2015-10-20 13:47:33,31,0,ef358b002383f918448dcb5e8ac40b64a35a4c26,f045be98be3ba032b6b19d71574038eeeb91803b,5.2,2015-11-02 08:56:19,31,12 days 19:08:46,12.797754629629631,2015-10-20 15:47:33,2015-11-02 09:56:19,12 days 18:08:46,12.756087962962965,0,0,0,0,5.2,5.2,5.2,56.0,5.0,13.0,0.08196721311475409,0.0,7.0,-151.3541003224206
17,5.3-RC1,2015-12-09 12:47:34,40,1,c979578645aaf77c447b250136db32a7067619a1,29a84111f6cc9298f83df515830ff40a41d0976c,5.3-RC2,2015-12-17 16:02:01,41,8 days 03:14:27,8.135034722222223,2015-12-09 13:47:34,2015-12-17 17:02:01,8 days 03:14:27,8.135034722222223,297,33,0,45,,,,,,,,,,
