,version_name,post_release_bugs,pre_release_bugs,pre_release_after_tagging_bugs,dde,critical_post_release_bugs,minor_post_release_bugs,fix_time
0,4.5.7,1,0.0,0.0,0.0,0.0,0.0,-434.28603009259257
1,5.1,30,2.0,5.0,0.0625,0.0,2.0,-101.06594405864196
2,5.1.1,7,0.0,0.0,0.0,0.0,0.0,-64.86754794973544
3,5.1.2,11,0.0,0.0,0.0,0.0,2.0,-178.38339120370372
4,5.2,56,5.0,13.0,0.08196721311475409,0.0,7.0,-151.3541003224206
5,5.3,23,3.0,3.0,0.11538461538461539,1.0,2.0,-147.19535669191922
6,5.4,21,12.0,9.0,0.36363636363636365,1.0,0.0,-93.04584049823633
7,5.5,11,2.0,4.0,0.15384615384615385,0.0,1.0,-73.75304924242425
8,5.6,46,2.0,2.0,0.041666666666666664,1.0,5.0,-89.5138214573269
9,5.6.1,12,0.0,0.0,0.0,2.0,1.0,-70.0984944058642
10,5.6.2,2,0.0,0.0,0.0,0.0,0.0,-8.016255787037037
11,5.6.3,8,0.0,0.0,0.0,0.0,0.0,-157.98924479166666
12,5.6.4,3,0.0,0.0,0.0,0.0,0.0,-103.28785493827161
13,5.6.5,3,0.0,0.0,0.0,0.0,0.0,-136.31528549382716
14,5.6.6,12,0.0,0.0,0.0,0.0,1.0,-74.45943287037038
15,5.6.7,3,0.0,0.0,0.0,0.0,0.0,-128.51067515432098
16,6.0,35,2.0,2.0,0.05405405405405406,3.0,1.0,-85.03543518518518
17,6.1,14,3.0,5.0,0.17647058823529413,0.0,0.0,-89.37869708994708
18,6.1.1,1,0.0,0.0,0.0,0.0,0.0,-8.844097222222222
19,6.2,22,12.0,5.0,0.35294117647058826,0.0,0.0,-24.96913580246914
20,6.3,21,6.0,8.0,0.2222222222222222,0.0,1.0,-32.13084270282187
21,6.3.1,5,0.0,0.0,0.0,0.0,0.0,-37.80141435185185
22,6.3.2,2,0.0,0.0,0.0,0.0,0.0,-6.241244212962963
23,6.4,28,8.0,14.0,0.2222222222222222,1.0,1.0,-38.78664351851852
24,6.5,24,2.0,2.0,0.07692307692307693,0.0,2.0,-55.338385668276985
25,6.5-M1,1,0.0,0.0,0.0,1.0,0.0,-2.5073148148148148
26,6.6,8,13.0,0.0,0.6190476190476191,2.0,1.0,-101.6155613425926
27,6.7,62,1.0,0.0,0.015873015873015872,3.0,11.0,-41.884004829182636
28,6.7.1,12,0.0,0.0,0.0,0.0,2.0,-82.61525462962963
29,6.7.2,2,0.0,0.0,0.0,0.0,0.0,-174.45765046296296
30,6.7.3,5,1.0,0.0,0.16666666666666666,1.0,0.0,-13.888416666666666
31,6.7.4,2,0.0,0.0,0.0,0.0,0.0,-6.91238425925926
32,6.7.5,2,0.0,0.0,0.0,0.0,0.0,-5.169635416666667
33,6.7.6,1,0.0,0.0,0.0,0.0,0.0,-2.158900462962963
34,6.7.7,2,0.0,0.0,0.0,0.0,0.0,-6.072442129629629
35,7.0,18,6.0,16.0,0.25,1.0,2.0,-14.08325810185185
36,7.1,24,3.0,22.0,0.1111111111111111,0.0,2.0,-23.464251060956794
37,7.2,20,2.0,0.0,0.09090909090909091,0.0,1.0,-23.3490630787037
38,7.3,23,1.0,3.0,0.041666666666666664,0.0,1.0,-14.021446256038649
39,7.4,21,1.0,0.0,0.045454545454545456,1.0,1.0,-30.11207465277778
40,7.5,5,2.0,0.0,0.2857142857142857,0.0,1.0,-5.807027777777778
41,7.6,11,0.0,0.0,0.0,2.0,3.0,-64.06901388888889
42,7.7,19,1.0,0.0,0.05,1.0,3.0,-31.516277913943355
43,7.8,8,3.0,0.0,0.2727272727272727,1.0,2.0,-21.811051793981484
44,7.9,23,1.0,0.0,0.041666666666666664,2.0,2.0,-49.82451838991769
45,7.9.1,32,0.0,0.0,0.0,0.0,11.0,-35.18222924933864
46,7.9.3,1,0.0,0.0,0.0,0.0,1.0,-0.21048611111111112
47,7.9.4,1,0.0,0.0,0.0,0.0,0.0,-13.236747685185184
48,8.0,8,2.0,1.0,0.2,0.0,1.0,-13.636132605820107
49,8.1,8,1.0,0.0,0.1111111111111111,0.0,3.0,-65.20164544753086
50,8.2,10,1.0,0.0,0.09090909090909091,1.0,0.0,-31.32525205761317
51,8.3,4,0.0,0.0,0.0,0.0,2.0,-1.4801157407407406
52,8.3.1,2,0.0,0.0,0.0,0.0,1.0,-22.038171296296298
53,8.4,8,3.0,2.0,0.2727272727272727,3.0,0.0,-2.246875
54,8.4.1,11,0.0,0.0,0.0,0.0,3.0,-13.909758391203704
55,8.4.2,4,0.0,0.0,0.0,0.0,1.0,-3.1409432870370373
