,Tag,Sha,Date,Tag_number,month,year,major_version
127,4.5.5,cc8a9472c671598fb3158b51b15863448a477a50,2015-07-30 10:02:58,4.5.5,7,2015,4
126,4.5.6,12d931e5a31e1692a428bbb34ba11cd63aebf998,2015-10-16 09:31:18,4.5.6,10,2015,4
125,4.5.7,e2afb0bff1b8be759789d2c1bc9348de6f519f83,2016-04-08 13:44:39,4.5.7,4,2016,4
116,5.1,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,2015-04-02 08:09:45,5.1,4,2015,5
117,5.1-RC2,dfc9f94b72103ee941cc11da6529623fa91df509,2015-03-23 15:22:47,5.1,3,2015,5
115,5.1.1,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,2015-06-02 08:34:06,5.1.1,6,2015,5
114,5.1.2,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,2015-07-27 08:03:21,5.1.2,7,2015,5
110,5.2,f045be98be3ba032b6b19d71574038eeeb91803b,2015-11-02 08:56:19,5.2,11,2015,5
113,5.2-RC1,d5dd7720eb79dc0cae1a1b38f83e757a031f8ca9,2015-10-12 15:58:42,5.2,10,2015,5
112,5.2-RC2,3d2b3bbd084ccf75d1921382315d3ac3037ed3bc,2015-10-13 10:06:23,5.2,10,2015,5
111,5.2-RC3,ef358b002383f918448dcb5e8ac40b64a35a4c26,2015-10-20 13:47:33,5.2,10,2015,5
106,5.3,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,2016-01-08 10:09:15,5.3,1,2016,5
109,5.3-RC1,c979578645aaf77c447b250136db32a7067619a1,2015-12-09 12:47:34,5.3,12,2015,5
108,5.3-RC2,29a84111f6cc9298f83df515830ff40a41d0976c,2015-12-17 16:02:01,5.3,12,2015,5
107,5.3-RC3,e735681d1b11ff0e90c254a3b5302e290ffa05a6,2016-01-07 13:18:48,5.3,1,2016,5
87,5.4,7b02df9be3cd9448699b5857586e1c6e2b28c007,2016-03-08 15:48:19,5.4,3,2016,5
105,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,2016-02-11 09:49:41,5.4,2,2016,5
96,5.4-M10,bea2847df13b73c7364193419873e3e8b47b5b73,2016-01-28 16:10:59,5.4,1,2016,5
95,5.4-M11,84d4f441879de01734bb9041fc0cdfbd461386ee,2016-02-01 14:45:36,5.4,2,2016,5
94,5.4-M12,ca8c711145a11e61a3c6571cef38cf8d53b5d423,2016-02-03 12:52:05,5.4,2,2016,5
93,5.4-M13,27858608f46ae9f1cd2c2269151e68f56f882417,2016-02-05 10:17:45,5.4,2,2016,5
92,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,2016-02-11 09:49:41,5.4,2,2016,5
104,5.4-M2,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,2015-12-28 12:01:19,5.4,12,2015,5
103,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,2016-01-06 09:52:46,5.4,1,2016,5
102,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,2016-01-12 10:43:56,5.4,1,2016,5
101,5.4-M5,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,2016-01-14 07:41:56,5.4,1,2016,5
100,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,2016-01-15 08:27:52,5.4,1,2016,5
99,5.4-M7,366217e521da38a4b17f7e6ada0f4d6612475580,2016-01-14 10:05:29,5.4,1,2016,5
98,5.4-M8,162d76a0e6964f1d42069b42ce0362fedd151f75,2016-01-18 08:43:40,5.4,1,2016,5
97,5.4-M9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,2016-01-21 08:29:19,5.4,1,2016,5
91,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,2016-02-09 11:54:50,5.4,2,2016,5
90,5.4-RC2,e8f951d9f2a99975e31f82d97fce68f47e9242d3,2016-02-15 15:38:37,5.4,2,2016,5
89,5.4-RC3,19310ef05676362f6b88be6d1edc22a12af372b4,2016-03-01 09:36:10,5.4,3,2016,5
88,5.4-RC4,ca9cfe39623b1ae2fdab458348f1b92838b7f151,2016-03-04 16:25:47,5.4,3,2016,5
72,5.5,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,2016-05-02 14:09:29,5.5,5,2016,5
86,5.5-M1,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,2016-02-12 15:43:47,5.5,2,2016,5
79,5.5-M10,63e3178d2c454d17a7c507a0efca93770be40d41,2016-03-14 13:09:03,5.5,3,2016,5
78,5.5-M11,c5be77384198f6dd7de51a6d275dd1b5ae036daa,2016-03-25 09:46:57,5.5,3,2016,5
77,5.5-M12,4aa44f864269fb77e1e57c54e15ba913359d383d,2016-03-31 14:29:42,5.5,3,2016,5
76,5.5-M13,c6c159847040bd5183c9ceb1df80553c6b2f3396,2016-04-01 16:18:35,5.5,4,2016,5
75,5.5-M14,0bac18d71ccd2504254cd82c89ea208320a5fb30,2016-04-05 09:46:02,5.5,4,2016,5
85,5.5-M2,1792451e5e318a0cfb2e0085115d4c68f8025828,2016-02-17 14:21:51,5.5,2,2016,5
84,5.5-M3,c096255c9f57d03a70e02fd99ba06e9e0d737fc3,2016-02-18 15:47:35,5.5,2,2016,5
83,5.5-M4,b94c3c5acca681d305e4a3cd93cdfafe4ad3cfeb,2016-02-22 21:19:15,5.5,2,2016,5
82,5.5-M5,26c5dfb16763787a4ffe2219def80ebb3b20bdfd,2016-02-26 08:50:59,5.5,2,2016,5
81,5.5-M6,50cc345d65a5efa7321def634af7b1af130a5990,2016-03-02 14:02:34,5.5,3,2016,5
80,5.5-M7,dd17d404a9b1440d45f12e25ad41f294b6b56a34,2016-03-04 16:01:31,5.5,3,2016,5
74,5.5-RC1,4c34f8c245f13967643c7ec5cd24d0d06903c44f,2016-04-07 13:38:57,5.5,4,2016,5
73,5.5-RC2,23454578ad135cd6d2280d04198a4d5eacf20979,2016-04-28 06:45:25,5.5,4,2016,5
69,5.6,074f3d1169f9688d15af4aff67e7e672cbeed782,2016-06-01 11:59:09,5.6,6,2016,5
71,5.6-RC1,a28bb3e5d6988747f1bcd7896be07a6afe56914f,2016-05-20 11:21:25,5.6,5,2016,5
70,5.6-RC2,ad239bd651c1ccd555c4f84111416bb0b2aefe0b,2016-05-27 15:14:46,5.6,5,2016,5
68,5.6.1,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,2016-07-25 08:13:12,5.6.1,7,2016,5
67,5.6.2,9c1c190107023ffca5f67d6d0184ff5371c5347f,2016-09-19 14:34:40,5.6.2,9,2016,5
66,5.6.3,a68d912046cfbbe3f9d1493ab53414face1adae2,2016-10-03 13:56:53,5.6.3,10,2016,5
65,5.6.4,52298794f1a34a4fd713ff8d441a0c13432e40a9,2016-12-12 10:11:54,5.6.4,12,2016,5
64,5.6.5,29a8d73d1b3fb39fd35c777bf07be40873391517,2017-01-18 16:19:42,5.6.5,1,2017,5
63,5.6.6,05221592672b903c703c0424dc77458e615c106d,2017-02-16 20:34:26,5.6.6,2,2017,5
62,5.6.7,3de1bdeb3255fedc75885313205143f28aa89e9c,2017-09-25 10:46:49,5.6.7,9,2017,5
59,6.0,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,2016-08-03 09:19:42,6.0,8,2016,6
61,6.0-RC1,41affbb82c5e897eea64f77538ce4b20322ba61c,2016-07-20 08:30:19,6.0,7,2016,6
60,6.0-RC2,f6e1edf894578320cfad5ef62e9820a10026238a,2016-07-29 08:11:06,6.0,7,2016,6
56,6.1,442f1a11b2365618f58f3f456a756995a6318225,2016-10-11 07:02:29,6.1,10,2016,6
58,6.1-RC1,12e24a98549f51fc560d782a9d93164021feaccc,2016-09-19 14:58:22,6.1,9,2016,6
57,6.1-RC2,879e50736fb84d12259e23bd8ea0d2293dc43046,2016-10-03 07:39:32,6.1,10,2016,6
55,6.1.1,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,2016-11-17 19:45:38,6.1.1,11,2016,6
51,6.2,4a28f29f95254b58f3cf0a0871bc632e998403f5,2016-12-13 15:05:23,6.2,12,2016,6
54,6.2-RC1,e50f57556a830a9d0d527f68e6c106192acaa4b9,2016-11-21 11:08:08,6.2,11,2016,6
53,6.2-RC2,b7608b6a0818d0b4372681d3cd224a930eb80410,2016-12-02 07:39:58,6.2,12,2016,6
52,6.2-RC3,e52bc616764bb8cdcd53803f77119f19c6dbb2ce,2016-12-09 10:07:17,6.2,12,2016,6
50,6.2.1,8a667b2e3358144ea6d0affaf7673ebd290b0b78,2017-01-16 16:00:20,6.2.1,1,2017,6
47,6.3,43ea4f4c43aa89d4c435017f86d0da254e115e6b,2017-03-14 09:12:39,6.3,3,2017,6
49,6.3-RC1,534fc279a64c7b836f39d476d15192999944b9eb,2017-02-14 11:06:25,6.3,2,2017,6
48,6.3-RC4,e23682d9e420ef59da282322ca9dc6e3fc59d75b,2017-03-04 17:53:45,6.3,3,2017,6
46,6.3.0.18401,534fc279a64c7b836f39d476d15192999944b9eb,2017-02-14 11:06:25,6.3.0.18401,2,2017,6
45,6.3.0.18587,3b673b37f88fc38b84244bd541d20ee9ac510486,2017-02-16 16:38:40,6.3.0.18587,2,2017,6
44,6.3.0.18800,7a8f38e05f2264d550c232cd89518abd1155870a,2017-02-22 15:04:12,6.3.0.18800,2,2017,6
43,6.3.1,54be39f47d188340b14d4d9236bbf3d43b1db2ae,2017-04-11 12:44:29,6.3.1,4,2017,6
42,6.3.2,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,2017-04-24 08:51:14,6.3.2,4,2017,6
38,6.4,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,2017-06-02 08:32:25,6.4,6,2017,6
41,6.4-RC1,04b7bf3ccc22daea116a67e6ba174237805e5ccf,2017-05-16 15:00:32,6.4,5,2017,6
40,6.4-RC2,8e826b1066ffea29958f8c5ac09244baa624dafd,2017-05-22 10:00:44,6.4,5,2017,6
39,6.4-RC3,1f978d91e82d8ddbe49806ee6d32bc93e8f6a42f,2017-05-29 09:55:18,6.4,5,2017,6
31,6.5,ef2ca5b33e5795b841d45e0b20fef3cb90391719,2017-08-01 11:58:54,6.5,8,2017,6
37,6.5-M1,25592161f1698d5be10311cab517cd4824445945,2017-06-20 15:42:21,6.5,6,2017,6
36,6.5-M2,bcc8082815b493171a30ae32dfef9d9c278804a4,2017-07-05 17:09:06,6.5,7,2017,6
35,6.5-M3,ca28dd4ed34ab7c6e6066dd44820fe815c21b7a8,2017-07-13 17:56:59,6.5,7,2017,6
34,6.5-M4,4815ccb899b0cff352dd979024afd46db878b692,2017-07-24 16:45:48,6.5,7,2017,6
33,6.5-RC1,3861f8769afa40e556c63ff7f39a41f9f89f68fa,2017-07-13 17:11:40,6.5,7,2017,6
32,6.5-RC2,fa58d92ea7145838c8030fc4611a4bdefe94b5de,2017-07-24 15:42:40,6.5,7,2017,6
29,6.6,353296630a2d150f48c76183e82188dfcaa42df0,2017-10-20 12:09:25,6.6,10,2017,6
30,6.6-RC1,868e9ce285262e5277c158ea3c2082c379e81943,2017-10-10 17:03:23,6.6,10,2017,6
27,6.7,5d031d9d2ac3f69b4b9bc600d50563b1886c7d8b,2017-11-07 15:03:37,6.7,11,2017,6
28,6.7-RC1,3f72c27bf24dcecfad0e0901797e6d166532de72,2017-10-27 14:27:52,6.7,10,2017,6
